institution_id,sector,legal_context,priority
royal-ballet-opera,opera/ballet,charity,high
english-national-opera,opera,charity/company,high
opera-north,opera,charity/company,high
national-theatre,theatre,charity,high
royal-shakespeare-company,theatre,charity,high
sadlers-wells,dance/theatre,charity,high
royal-academy-music,conservatoire,charity / HE,high
royal-college-music,conservatoire,charity / HE,high
guildhall-school,conservatoire,City of London institution,high
royal-college-art,art/design HE,HE / charity-law context,high
central-saint-martins-ual,visual art/design HE,HE / exempt-charity context,medium
courtauld,art history/conservation/gallery,charity / HE,medium
