field,meaning,status
local_authority,Council identifier/name,required
year,Financial year,required
archives,RO5 cultural service expenditure,target
arts_development_support,RO5 cultural service expenditure,target
heritage,RO5 cultural service expenditure,target
museums_galleries,RO5 cultural service expenditure,target
theatres_public_entertainment,RO5 cultural service expenditure,target
libraries,RO5 / library service expenditure,target
government_grants,Authority-level financing,target
council_tax,Authority-level financing,target
retained_business_rates,Authority-level financing,target
fees_charges,Service-level where available,target
delivery_model,direct / trust / contract / grant / mixed,research
