person_id,person_name,institution_id,role,start,end,appointment_route,predecessor,previous_role_or_institution,evidence_class
indhu-rubasingham,Indhu Rubasingham,national-theatre,Director and Joint Chief Executive,2025,,Board appointment,Rufus Norris,Kiln Theatre — Artistic Director,formal appointment record
rufus-norris,Rufus Norris,national-theatre,Director / Chief Executive,2015,2025,institutional appointment,Nicholas Hytner,,formal appointment record
nicholas-hytner,Nicholas Hytner,national-theatre,Director,2003,2015,institutional appointment,Trevor Nunn,,institutional archive / appointment record
trevor-nunn,Trevor Nunn,national-theatre,Director,1997,2003,institutional appointment,Richard Eyre,Royal Shakespeare Company — Artistic Director,institutional archive
richard-eyre,Richard Eyre,national-theatre,Director,1988,1997,institutional appointment,Peter Hall,,institutional archive
peter-hall,Peter Hall,national-theatre,Director,1973,1988,institutional appointment,Laurence Olivier,Royal Shakespeare Company — founder / artistic leadership,institutional archive
laurence-olivier,Laurence Olivier,national-theatre,Director,1963,1973,founding leadership,,,institutional archive
daniel-evans,Daniel Evans,rsc,Co-Artistic Director,2023-06,,Board appointment,Gregory Doran,Chichester Festival Theatre — Artistic Director,formal appointment record
tamara-harvey,Tamara Harvey,rsc,Co-Artistic Director,2023-06,,Board appointment,Gregory Doran,Theatr Clwyd — Artistic Director,formal appointment record
gregory-doran,Gregory Doran,rsc,Artistic Director,2012,2022,Board appointment,Michael Boyd,RSC — long-term director/associate,institutional appointment/archive
michael-boyd,Michael Boyd,rsc,Artistic Director,2003,2012,Board appointment,Adrian Noble,,institutional archive
adrian-noble,Adrian Noble,rsc,Artistic Director,1991,2003,institutional appointment,Terry Hands,,institutional archive
andrew-leveson,Andrew Leveson,rsc,Executive Director / Chief Executive,2024-04,,Board appointment,Catherine Mallyon,Bridge Theatre — Director of Finance and Administration,formal appointment record
alex-beard,Alex Beard,rbo,Chief Executive,2013,,Board appointment,Tony Hall,Tate — Deputy Director,formal appointment + biography
tony-hall,Tony Hall,rbo,Chief Executive,2001,2013,Board appointment,Michael Kaiser,BBC — senior executive roles,institutional archive
oliver-mears,Oliver Mears,rbo,Director of Opera,2017,,institutional appointment,,Northern Ireland Opera — Artistic Director,current office record
jakub-hrusa,Jakub Hrůša,rbo,"Music Director, Royal Opera",2025-09,,institutional appointment,Antonio Pappano,Bamberg Symphony — Chief Conductor,formal appointment record
antonio-pappano,Antonio Pappano,rbo,"Music Director, Royal Opera",2002,2024,institutional appointment,Bernard Haitink,,institutional archive
jenny-mollica,Jenny Mollica,eno,Chief Executive,2023,2026,institutional appointment,,ENO — Director of Strategy and Engagement; next Roundhouse CEO,formal transition record
paul-reeve,Paul Reeve,eno,Interim Chief Executive,2026-04,2026-11,interim appointment,Jenny Mollica,Into Film — Chief Executive; Birmingham Royal Ballet; RBO; English Touring Opera; RSC,formal appointment record
helen-shute,Helen Shute,eno,Chief Executive,2026-11,,institutional appointment,Paul Reeve,Rambert — Chief Executive and Executive Producer,formal appointment record
