recipient_id,recipient_name,ace_area,period_start,period_end,amount_gbp,funding_scope,source_document_id,locator,normalisation_status,notes
royal-ballet-opera,The Royal Ballet and Opera (formerly Royal Opera House),London,2023-04-01,2024-03-31,20400000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
national-theatre,National Theatre,London,2023-04-01,2024-03-31,16200000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
royal-shakespeare-company,Royal Shakespeare Company,Midlands,2023-04-01,2024-03-31,16000000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
southbank-centre,Southbank Centre,London,2023-04-01,2024-03-31,15400000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
bradford-culture-company,Bradford Culture Company Ltd,North,2023-04-01,2024-03-31,14100000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
factory-international,Manchester International Festival and Factory International,North,2023-04-01,2024-03-31,11900000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
opera-north,Opera North,North,2023-04-01,2024-03-31,11600000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
english-national-opera,English National Opera,London,2023-04-01,2024-03-31,11300000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
youth-music,The National Foundation for Youth Music,London,2023-04-01,2024-03-31,9700000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
sadlers-wells,Sadler’s Wells,London,2023-04-01,2024-03-31,8400000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
birmingham-royal-ballet,Birmingham Royal Ballet,Midlands,2023-04-01,2024-03-31,8000000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
tyne-wear-archives-museums,Tyne & Wear Archives & Museums,North,2023-04-01,2024-03-31,6600000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
welsh-national-opera,Welsh National Opera,South West,2023-04-01,2024-03-31,6400000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
booktrust,BookTrust,North,2023-04-01,2024-03-31,6400000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
english-national-ballet,English National Ballet,London,2023-04-01,2024-03-31,6000000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
bolton-music-service,Bolton Music Service,North,2023-04-01,2024-03-31,3800000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
northern-ballet,Northern Ballet Limited,North,2023-04-01,2024-03-31,3800000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
north-music-trust,North Music Trust,North,2023-04-01,2024-03-31,3800000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
royal-liverpool-philharmonic,Royal Liverpool Philharmonic,North,2023-04-01,2024-03-31,3400000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
norfolk-museums-service,Norfolk Museums Service,South East,2023-04-01,2024-03-31,3100000,total ACE funding received across multiple projects,doc-ace-ara-2023-24,"Our investments, top-20 table / report p.20",audited source; programme split not yet normalised,Do not treat as NPO-only funding. ACE footnote says list is across multiple projects.
