full_name_first_use,permitted_short_form_after_first_use
"Department for Culture, Media and Sport",DCMS
Arts Council England,ACE
British Film Institute,BFI
National Lottery Distribution Fund,NLDF
HM Revenue & Customs,HMRC
Arts Council of Wales,ACW
Arts Council of Northern Ireland,ACNI
Royal Ballet and Opera,RBO
English National Opera,ENO
Royal Shakespeare Company,RSC
Royal Academy of Music,RAM
Royal College of Music,RCM
Royal Northern College of Music,RNCM
Royal Welsh College of Music & Drama,RWCMD
Royal Conservatoire of Scotland,RCS
