institution,person_a,role_a,person_b,role_b,start,end,approx_years,source_ids,interpretation
National Gallery,Sir William Boxall,Director,Sir Frederic William Burton,Director,1874,1874,1,NG-DIR;NG-DIR,institutional overlap only
National Gallery,Sir Frederic William Burton,Director,Sir Edward John Poynter,Director,1894,1894,1,NG-DIR;NG-DIR,institutional overlap only
National Gallery,Sir Charles Holroyd,Director,Sir Charles John Holmes,Director,1916,1916,1,NG-DIR;NG-DIR,institutional overlap only
National Gallery,Sir Martin Davies,Director,Sir Michael Levey,Director,1973,1973,1,NG-DIR;NG-DIR,institutional overlap only
National Gallery,Neil MacGregor,Director,Charles Saumarez Smith,Director,2002,2002,1,NG-DIR;NG-DIR,institutional overlap only
National Gallery,Sir Nicholas Penny,Director,Gabriele Finaldi,Director,2015,2015,1,NG-DIR;NG-DIR,institutional overlap only
Victoria and Albert Museum,Sir Philip Cunliffe-Owen,Director,John Henry Middleton,Director,1893,1893,1,VA-DIR;VA-DIR,institutional overlap only
Victoria and Albert Museum,John Henry Middleton,Director,Sir Caspar Purdon Clarke,Director,1896,1896,1,VA-DIR;VA-DIR,institutional overlap only
Victoria and Albert Museum,Sir Caspar Purdon Clarke,Director,Arthur Banks Skinner,Director,1905,1905,1,VA-DIR;VA-DIR,institutional overlap only
Victoria and Albert Museum,Sir Cecil Harcourt Smith,Director,Sir Eric Maclagan,Director,1924,1924,1,VA-DIR;VA-DIR,institutional overlap only
Victoria and Albert Museum,Sir Roy Strong,Director,Elizabeth Esteve-Coll,Director,1987,1987,1,VA-DIR;VA-DIR,institutional overlap only
Victoria and Albert Museum,Elizabeth Esteve-Coll,Director,Alan Borg,Director,1995,1995,1,VA-DIR;VA-DIR,institutional overlap only
Victoria and Albert Museum,Alan Borg,Director,Sir Mark Jones,Director,2001,2001,1,VA-DIR;VA-DIR,institutional overlap only
Victoria and Albert Museum,Sir Mark Jones,Director,Martin Roth,Director,2011,2011,1,VA-DIR;VA-DIR,institutional overlap only
Tate,Charles Holroyd,Keeper,D. S. MacColl,Keeper,1906,1906,1,TATE-DIR;TATE-DIR,institutional overlap only
Tate,D. S. MacColl,Keeper,Charles Aitken,Keeper,1911,1911,1,TATE-DIR;TATE-DIR,institutional overlap only
