entity_id,institution,reporting_perimeter,period,indicator,value,status,source_id,locator
british-museum,British Museum,single site,2024/25,physical_visits,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
british-museum,British Museum,single site,2024/25,unique_website_visitors,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
british-museum,British Museum,single site,2024/25,child_visits_under_16,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
british-museum,British Museum,single site,2024/25,overseas_visits,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
british-museum,British Museum,single site,2024/25,formal_education_under18,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
british-museum,British Museum,single site,2024/25,onsite_organised_activity_under18,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
british-museum,British Museum,single site,2024/25,recommend_visit_percent,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
british-museum,British Museum,single site,2024/25,uk_loan_venues,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
british-museum,British Museum,single site,2024/25,admissions_income,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
british-museum,British Museum,single site,2024/25,trading_net_profit,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
british-museum,British Museum,single site,2024/25,fundraising_contributed_income,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
museum-of-the-home,Museum of the Home,single site,2024/25,physical_visits,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
museum-of-the-home,Museum of the Home,single site,2024/25,unique_website_visitors,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
museum-of-the-home,Museum of the Home,single site,2024/25,child_visits_under_16,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
museum-of-the-home,Museum of the Home,single site,2024/25,overseas_visits,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
museum-of-the-home,Museum of the Home,single site,2024/25,formal_education_under18,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
museum-of-the-home,Museum of the Home,single site,2024/25,onsite_organised_activity_under18,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
museum-of-the-home,Museum of the Home,single site,2024/25,recommend_visit_percent,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
museum-of-the-home,Museum of the Home,single site,2024/25,uk_loan_venues,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
museum-of-the-home,Museum of the Home,single site,2024/25,admissions_income,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
museum-of-the-home,Museum of the Home,single site,2024/25,trading_net_profit,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
museum-of-the-home,Museum of the Home,single site,2024/25,fundraising_contributed_income,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
horniman-museum,Horniman Museum,single site,2024/25,physical_visits,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
horniman-museum,Horniman Museum,single site,2024/25,unique_website_visitors,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
horniman-museum,Horniman Museum,single site,2024/25,child_visits_under_16,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
horniman-museum,Horniman Museum,single site,2024/25,overseas_visits,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
horniman-museum,Horniman Museum,single site,2024/25,formal_education_under18,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
horniman-museum,Horniman Museum,single site,2024/25,onsite_organised_activity_under18,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
horniman-museum,Horniman Museum,single site,2024/25,recommend_visit_percent,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
horniman-museum,Horniman Museum,single site,2024/25,uk_loan_venues,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
horniman-museum,Horniman Museum,single site,2024/25,admissions_income,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
horniman-museum,Horniman Museum,single site,2024/25,trading_net_profit,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
horniman-museum,Horniman Museum,single site,2024/25,fundraising_contributed_income,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
imperial-war-museums,Imperial War Museums,group,2024/25,physical_visits,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
imperial-war-museums,Imperial War Museums,group,2024/25,unique_website_visitors,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
imperial-war-museums,Imperial War Museums,group,2024/25,child_visits_under_16,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
imperial-war-museums,Imperial War Museums,group,2024/25,overseas_visits,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
imperial-war-museums,Imperial War Museums,group,2024/25,formal_education_under18,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
imperial-war-museums,Imperial War Museums,group,2024/25,onsite_organised_activity_under18,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
imperial-war-museums,Imperial War Museums,group,2024/25,recommend_visit_percent,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
imperial-war-museums,Imperial War Museums,group,2024/25,uk_loan_venues,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
imperial-war-museums,Imperial War Museums,group,2024/25,admissions_income,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
imperial-war-museums,Imperial War Museums,group,2024/25,trading_net_profit,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
imperial-war-museums,Imperial War Museums,group,2024/25,fundraising_contributed_income,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
national-gallery,National Gallery,single site,2024/25,physical_visits,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
national-gallery,National Gallery,single site,2024/25,unique_website_visitors,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
national-gallery,National Gallery,single site,2024/25,child_visits_under_16,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
national-gallery,National Gallery,single site,2024/25,overseas_visits,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
national-gallery,National Gallery,single site,2024/25,formal_education_under18,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
national-gallery,National Gallery,single site,2024/25,onsite_organised_activity_under18,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
national-gallery,National Gallery,single site,2024/25,recommend_visit_percent,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
national-gallery,National Gallery,single site,2024/25,uk_loan_venues,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
national-gallery,National Gallery,single site,2024/25,admissions_income,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
national-gallery,National Gallery,single site,2024/25,trading_net_profit,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
national-gallery,National Gallery,single site,2024/25,fundraising_contributed_income,,pending exact ODS table extraction,DCMS-PI-TABLES-2425,individual institution table / exact cell required
