file,action
people_roles_C47.csv,SAFE TO MOVE TO ARCHIVE; do not delete
people_roles_C48.csv,SAFE TO MOVE TO ARCHIVE; do not delete
people_roles_C49.csv,SAFE TO MOVE TO ARCHIVE; do not delete
people_roles_C50.csv,SAFE TO MOVE TO ARCHIVE; do not delete
career_moves_C47.csv,SAFE TO MOVE TO ARCHIVE; do not delete
career_moves_C48.csv,SAFE TO MOVE TO ARCHIVE; do not delete
career_moves_C49.csv,SAFE TO MOVE TO ARCHIVE; do not delete
institutional_overlaps_C48.csv,SAFE TO MOVE TO ARCHIVE; do not delete
entities_master_C36.csv,SAFE TO MOVE TO ARCHIVE; do not delete
entities_deep_records_C39.csv,SAFE TO MOVE TO ARCHIVE; do not delete
audited_finance_populated_C44.csv,SAFE TO MOVE TO ARCHIVE; do not delete
institution_finance_ledger_C45.csv,SAFE TO MOVE TO ARCHIVE; do not delete
museum_outputs_aggregate_C46.csv,SAFE TO MOVE TO ARCHIVE; do not delete
pilot_place_dossiers_C38.csv,SAFE TO MOVE TO ARCHIVE; do not delete
liverpool_settlement_components_C38.csv,SAFE TO MOVE TO ARCHIVE; do not delete
