section,required_fields
Income statement,total income; material headings; comparative prior year
Public funding,Grant-in-Aid; capital grant; other government grants; Lottery if applicable
Private funding,donations; legacies; sponsorship; grants from trusts/foundations
Earned income,admissions; trading; commercial; memberships; licensing/other earned
Investment/endowment,investment income; endowment draw where stated
Expenditure,total; charitable activities/programmes; grants made; trading
People cost,staff costs; FTE/headcount definition; pension/termination where material
Balance sheet,cash; investments; fixed assets; creditors/liabilities
Funds,unrestricted; restricted; designated; endowment
Perimeter,group vs charity/body-only; subsidiaries; consolidation basis
