gap_id,record_id,record_type,gap,status,introduced_in
G000001,I000037,institution,legal identity,open,C39
G000002,I000037,institution,executive leadership,open,C39
G000003,I000037,institution,chair,open,C39
G000004,I000037,institution,funding architecture,open,C39
G000005,I000037,institution,exact legal power/governing instrument,open,C39
G000006,I000037,institution,reconciled audited money-in streams,open,C39
G000007,I000037,institution,money-out routes,open,C39
G000008,I000037,institution,formal decision authority,open,C39
G000009,I000037,institution,artistic/cultural judgement mechanism,open,C39
G000010,I000037,institution,complete governing board,open,C39
G000011,I000037,institution,appointment routes,open,C39
G000012,I000037,institution,scrutiny/accountability powers,open,C39
G000013,I000037,institution,quantified capacity evidence,open,C39
G000014,I000037,institution,strategy claim extraction,open,C39
G000015,I000037,institution,operational commitments,open,C39
G000016,I000037,institution,measurable targets,open,C39
G000017,I000037,institution,claim-linked budget,open,C39
G000018,I000037,institution,outputs,open,C39
G000019,I000037,institution,results,open,C39
G000020,I000010,institution,legal identity,open,C39
G000021,I000010,institution,executive leadership,open,C39
G000022,I000010,institution,chair,open,C39
G000023,I000010,institution,funding architecture,open,C39
G000024,I000010,institution,exact legal power/governing instrument,open,C39
G000025,I000010,institution,reconciled audited money-in streams,open,C39
G000026,I000010,institution,money-out routes,open,C39
G000027,I000010,institution,formal decision authority,open,C39
G000028,I000010,institution,artistic/cultural judgement mechanism,open,C39
G000029,I000010,institution,complete governing board,open,C39
G000030,I000010,institution,appointment routes,open,C39
G000031,I000010,institution,scrutiny/accountability powers,open,C39
G000032,I000010,institution,quantified capacity evidence,open,C39
G000033,I000010,institution,strategy claim extraction,open,C39
G000034,I000010,institution,operational commitments,open,C39
G000035,I000010,institution,measurable targets,open,C39
G000036,I000010,institution,claim-linked budget,open,C39
G000037,I000010,institution,outputs,open,C39
G000038,I000010,institution,results,open,C39
G000039,I000035,institution,chair,open,C39
G000040,I000035,institution,exact legal power/governing instrument,open,C39
G000041,I000035,institution,reconciled audited money-in streams,open,C39
G000042,I000035,institution,money-out routes,open,C39
G000043,I000035,institution,formal decision authority,open,C39
G000044,I000035,institution,artistic/cultural judgement mechanism,open,C39
G000045,I000035,institution,complete governing board,open,C39
G000046,I000035,institution,appointment routes,open,C39
G000047,I000035,institution,scrutiny/accountability powers,open,C39
G000048,I000035,institution,quantified capacity evidence,open,C39
G000049,I000035,institution,strategy claim extraction,open,C39
G000050,I000035,institution,operational commitments,open,C39
G000051,I000035,institution,measurable targets,open,C39
G000052,I000035,institution,claim-linked budget,open,C39
G000053,I000035,institution,outputs,open,C39
G000054,I000035,institution,results,open,C39
G000055,I000057,institution,chair,open,C39
G000056,I000057,institution,exact legal power/governing instrument,open,C39
G000057,I000057,institution,reconciled audited money-in streams,open,C39
G000058,I000057,institution,money-out routes,open,C39
G000059,I000057,institution,formal decision authority,open,C39
G000060,I000057,institution,artistic/cultural judgement mechanism,open,C39
G000061,I000057,institution,complete governing board,open,C39
G000062,I000057,institution,appointment routes,open,C39
G000063,I000057,institution,scrutiny/accountability powers,open,C39
G000064,I000057,institution,quantified capacity evidence,open,C39
G000065,I000057,institution,strategy claim extraction,open,C39
G000066,I000057,institution,operational commitments,open,C39
G000067,I000057,institution,measurable targets,open,C39
G000068,I000057,institution,claim-linked budget,open,C39
G000069,I000057,institution,outputs,open,C39
G000070,I000057,institution,results,open,C39
G000071,I000052,institution,exact legal power/governing instrument,open,C39
G000072,I000052,institution,reconciled audited money-in streams,open,C39
G000073,I000052,institution,money-out routes,open,C39
G000074,I000052,institution,formal decision authority,open,C39
G000075,I000052,institution,artistic/cultural judgement mechanism,open,C39
G000076,I000052,institution,complete governing board,open,C39
G000077,I000052,institution,appointment routes,open,C39
G000078,I000052,institution,scrutiny/accountability powers,open,C39
G000079,I000052,institution,quantified capacity evidence,open,C39
G000080,I000052,institution,strategy claim extraction,open,C39
G000081,I000052,institution,operational commitments,open,C39
G000082,I000052,institution,measurable targets,open,C39
G000083,I000052,institution,claim-linked budget,open,C39
G000084,I000052,institution,outputs,open,C39
G000085,I000052,institution,results,open,C39
G000086,I000003,institution,chair,open,C39
G000087,I000003,institution,exact legal power/governing instrument,open,C39
G000088,I000003,institution,reconciled audited money-in streams,open,C39
G000089,I000003,institution,money-out routes,open,C39
G000090,I000003,institution,formal decision authority,open,C39
G000091,I000003,institution,artistic/cultural judgement mechanism,open,C39
G000092,I000003,institution,complete governing board,open,C39
G000093,I000003,institution,appointment routes,open,C39
G000094,I000003,institution,scrutiny/accountability powers,open,C39
G000095,I000003,institution,quantified capacity evidence,open,C39
G000096,I000003,institution,strategy claim extraction,open,C39
G000097,I000003,institution,operational commitments,open,C39
G000098,I000003,institution,measurable targets,open,C39
G000099,I000003,institution,claim-linked budget,open,C39
G000100,I000003,institution,outputs,open,C39
G000101,I000003,institution,results,open,C39
G000102,I000033,institution,legal identity,open,C39
G000103,I000033,institution,executive leadership,open,C39
G000104,I000033,institution,chair,open,C39
G000105,I000033,institution,funding architecture,open,C39
G000106,I000033,institution,exact legal power/governing instrument,open,C39
G000107,I000033,institution,reconciled audited money-in streams,open,C39
G000108,I000033,institution,money-out routes,open,C39
G000109,I000033,institution,formal decision authority,open,C39
G000110,I000033,institution,artistic/cultural judgement mechanism,open,C39
G000111,I000033,institution,complete governing board,open,C39
G000112,I000033,institution,appointment routes,open,C39
G000113,I000033,institution,scrutiny/accountability powers,open,C39
G000114,I000033,institution,quantified capacity evidence,open,C39
G000115,I000033,institution,strategy claim extraction,open,C39
G000116,I000033,institution,operational commitments,open,C39
G000117,I000033,institution,measurable targets,open,C39
G000118,I000033,institution,claim-linked budget,open,C39
G000119,I000033,institution,outputs,open,C39
G000120,I000033,institution,results,open,C39
G000121,I000031,institution,legal identity,open,C39
G000122,I000031,institution,executive leadership,open,C39
G000123,I000031,institution,chair,open,C39
G000124,I000031,institution,funding architecture,open,C39
G000125,I000031,institution,exact legal power/governing instrument,open,C39
G000126,I000031,institution,reconciled audited money-in streams,open,C39
G000127,I000031,institution,money-out routes,open,C39
G000128,I000031,institution,formal decision authority,open,C39
G000129,I000031,institution,artistic/cultural judgement mechanism,open,C39
G000130,I000031,institution,complete governing board,open,C39
G000131,I000031,institution,appointment routes,open,C39
G000132,I000031,institution,scrutiny/accountability powers,open,C39
G000133,I000031,institution,quantified capacity evidence,open,C39
G000134,I000031,institution,strategy claim extraction,open,C39
G000135,I000031,institution,operational commitments,open,C39
G000136,I000031,institution,measurable targets,open,C39
G000137,I000031,institution,claim-linked budget,open,C39
G000138,I000031,institution,outputs,open,C39
G000139,I000031,institution,results,open,C39
G000140,I000048,institution,legal identity,open,C39
G000141,I000048,institution,executive leadership,open,C39
G000142,I000048,institution,chair,open,C39
G000143,I000048,institution,funding architecture,open,C39
G000144,I000048,institution,exact legal power/governing instrument,open,C39
G000145,I000048,institution,reconciled audited money-in streams,open,C39
G000146,I000048,institution,money-out routes,open,C39
G000147,I000048,institution,formal decision authority,open,C39
G000148,I000048,institution,artistic/cultural judgement mechanism,open,C39
G000149,I000048,institution,complete governing board,open,C39
G000150,I000048,institution,appointment routes,open,C39
G000151,I000048,institution,scrutiny/accountability powers,open,C39
G000152,I000048,institution,quantified capacity evidence,open,C39
G000153,I000048,institution,strategy claim extraction,open,C39
G000154,I000048,institution,operational commitments,open,C39
G000155,I000048,institution,measurable targets,open,C39
G000156,I000048,institution,claim-linked budget,open,C39
G000157,I000048,institution,outputs,open,C39
G000158,I000048,institution,results,open,C39
G000159,I000050,institution,legal identity,open,C39
G000160,I000050,institution,executive leadership,open,C39
G000161,I000050,institution,chair,open,C39
G000162,I000050,institution,funding architecture,open,C39
G000163,I000050,institution,exact legal power/governing instrument,open,C39
G000164,I000050,institution,reconciled audited money-in streams,open,C39
G000165,I000050,institution,money-out routes,open,C39
G000166,I000050,institution,formal decision authority,open,C39
G000167,I000050,institution,artistic/cultural judgement mechanism,open,C39
G000168,I000050,institution,complete governing board,open,C39
G000169,I000050,institution,appointment routes,open,C39
G000170,I000050,institution,scrutiny/accountability powers,open,C39
G000171,I000050,institution,quantified capacity evidence,open,C39
G000172,I000050,institution,strategy claim extraction,open,C39
G000173,I000050,institution,operational commitments,open,C39
G000174,I000050,institution,measurable targets,open,C39
G000175,I000050,institution,claim-linked budget,open,C39
G000176,I000050,institution,outputs,open,C39
G000177,I000050,institution,results,open,C39
G000178,I000042,institution,legal identity,open,C39
G000179,I000042,institution,executive leadership,open,C39
G000180,I000042,institution,chair,open,C39
G000181,I000042,institution,funding architecture,open,C39
G000182,I000042,institution,exact legal power/governing instrument,open,C39
G000183,I000042,institution,reconciled audited money-in streams,open,C39
G000184,I000042,institution,money-out routes,open,C39
G000185,I000042,institution,formal decision authority,open,C39
G000186,I000042,institution,artistic/cultural judgement mechanism,open,C39
G000187,I000042,institution,complete governing board,open,C39
G000188,I000042,institution,appointment routes,open,C39
G000189,I000042,institution,scrutiny/accountability powers,open,C39
G000190,I000042,institution,quantified capacity evidence,open,C39
G000191,I000042,institution,strategy claim extraction,open,C39
G000192,I000042,institution,operational commitments,open,C39
G000193,I000042,institution,measurable targets,open,C39
G000194,I000042,institution,claim-linked budget,open,C39
G000195,I000042,institution,outputs,open,C39
G000196,I000042,institution,results,open,C39
G000197,I000004,institution,chair,open,C39
G000198,I000004,institution,exact legal power/governing instrument,open,C39
G000199,I000004,institution,reconciled audited money-in streams,open,C39
G000200,I000004,institution,money-out routes,open,C39
G000201,I000004,institution,formal decision authority,open,C39
G000202,I000004,institution,artistic/cultural judgement mechanism,open,C39
G000203,I000004,institution,complete governing board,open,C39
G000204,I000004,institution,appointment routes,open,C39
G000205,I000004,institution,scrutiny/accountability powers,open,C39
G000206,I000004,institution,quantified capacity evidence,open,C39
G000207,I000004,institution,strategy claim extraction,open,C39
G000208,I000004,institution,operational commitments,open,C39
G000209,I000004,institution,measurable targets,open,C39
G000210,I000004,institution,claim-linked budget,open,C39
G000211,I000004,institution,outputs,open,C39
G000212,I000004,institution,results,open,C39
G000213,I000018,institution,legal identity,open,C39
G000214,I000018,institution,executive leadership,open,C39
G000215,I000018,institution,chair,open,C39
G000216,I000018,institution,funding architecture,open,C39
G000217,I000018,institution,exact legal power/governing instrument,open,C39
G000218,I000018,institution,reconciled audited money-in streams,open,C39
G000219,I000018,institution,money-out routes,open,C39
G000220,I000018,institution,formal decision authority,open,C39
G000221,I000018,institution,artistic/cultural judgement mechanism,open,C39
G000222,I000018,institution,complete governing board,open,C39
G000223,I000018,institution,appointment routes,open,C39
G000224,I000018,institution,scrutiny/accountability powers,open,C39
G000225,I000018,institution,quantified capacity evidence,open,C39
G000226,I000018,institution,strategy claim extraction,open,C39
G000227,I000018,institution,operational commitments,open,C39
G000228,I000018,institution,measurable targets,open,C39
G000229,I000018,institution,claim-linked budget,open,C39
G000230,I000018,institution,outputs,open,C39
G000231,I000018,institution,results,open,C39
G000232,I000043,institution,exact legal power/governing instrument,open,C39
G000233,I000043,institution,reconciled audited money-in streams,open,C39
G000234,I000043,institution,money-out routes,open,C39
G000235,I000043,institution,formal decision authority,open,C39
G000236,I000043,institution,artistic/cultural judgement mechanism,open,C39
G000237,I000043,institution,complete governing board,open,C39
G000238,I000043,institution,appointment routes,open,C39
G000239,I000043,institution,scrutiny/accountability powers,open,C39
G000240,I000043,institution,quantified capacity evidence,open,C39
G000241,I000043,institution,strategy claim extraction,open,C39
G000242,I000043,institution,operational commitments,open,C39
G000243,I000043,institution,measurable targets,open,C39
G000244,I000043,institution,claim-linked budget,open,C39
G000245,I000043,institution,outputs,open,C39
G000246,I000043,institution,results,open,C39
G000247,I000007,institution,exact legal power/governing instrument,open,C39
G000248,I000007,institution,reconciled audited money-in streams,open,C39
G000249,I000007,institution,money-out routes,open,C39
G000250,I000007,institution,formal decision authority,open,C39
G000251,I000007,institution,artistic/cultural judgement mechanism,open,C39
G000252,I000007,institution,complete governing board,open,C39
G000253,I000007,institution,appointment routes,open,C39
G000254,I000007,institution,scrutiny/accountability powers,open,C39
G000255,I000007,institution,quantified capacity evidence,open,C39
G000256,I000007,institution,strategy claim extraction,open,C39
G000257,I000007,institution,operational commitments,open,C39
G000258,I000007,institution,measurable targets,open,C39
G000259,I000007,institution,claim-linked budget,open,C39
G000260,I000007,institution,outputs,open,C39
G000261,I000007,institution,results,open,C39
G000262,I000020,institution,chair,open,C39
G000263,I000020,institution,exact legal power/governing instrument,open,C39
G000264,I000020,institution,reconciled audited money-in streams,open,C39
G000265,I000020,institution,money-out routes,open,C39
G000266,I000020,institution,formal decision authority,open,C39
G000267,I000020,institution,artistic/cultural judgement mechanism,open,C39
G000268,I000020,institution,complete governing board,open,C39
G000269,I000020,institution,appointment routes,open,C39
G000270,I000020,institution,scrutiny/accountability powers,open,C39
G000271,I000020,institution,quantified capacity evidence,open,C39
G000272,I000020,institution,strategy claim extraction,open,C39
G000273,I000020,institution,operational commitments,open,C39
G000274,I000020,institution,measurable targets,open,C39
G000275,I000020,institution,claim-linked budget,open,C39
G000276,I000020,institution,outputs,open,C39
G000277,I000020,institution,results,open,C39
G000278,I000036,institution,legal identity,open,C39
G000279,I000036,institution,executive leadership,open,C39
G000280,I000036,institution,chair,open,C39
G000281,I000036,institution,funding architecture,open,C39
G000282,I000036,institution,exact legal power/governing instrument,open,C39
G000283,I000036,institution,reconciled audited money-in streams,open,C39
G000284,I000036,institution,money-out routes,open,C39
G000285,I000036,institution,formal decision authority,open,C39
G000286,I000036,institution,artistic/cultural judgement mechanism,open,C39
G000287,I000036,institution,complete governing board,open,C39
G000288,I000036,institution,appointment routes,open,C39
G000289,I000036,institution,scrutiny/accountability powers,open,C39
G000290,I000036,institution,quantified capacity evidence,open,C39
G000291,I000036,institution,strategy claim extraction,open,C39
G000292,I000036,institution,operational commitments,open,C39
G000293,I000036,institution,measurable targets,open,C39
G000294,I000036,institution,claim-linked budget,open,C39
G000295,I000036,institution,outputs,open,C39
G000296,I000036,institution,results,open,C39
G000297,I000040,institution,legal identity,open,C39
G000298,I000040,institution,executive leadership,open,C39
G000299,I000040,institution,chair,open,C39
G000300,I000040,institution,funding architecture,open,C39
G000301,I000040,institution,exact legal power/governing instrument,open,C39
G000302,I000040,institution,reconciled audited money-in streams,open,C39
G000303,I000040,institution,money-out routes,open,C39
G000304,I000040,institution,formal decision authority,open,C39
G000305,I000040,institution,artistic/cultural judgement mechanism,open,C39
G000306,I000040,institution,complete governing board,open,C39
G000307,I000040,institution,appointment routes,open,C39
G000308,I000040,institution,scrutiny/accountability powers,open,C39
G000309,I000040,institution,quantified capacity evidence,open,C39
G000310,I000040,institution,strategy claim extraction,open,C39
G000311,I000040,institution,operational commitments,open,C39
G000312,I000040,institution,measurable targets,open,C39
G000313,I000040,institution,claim-linked budget,open,C39
G000314,I000040,institution,outputs,open,C39
G000315,I000040,institution,results,open,C39
G000316,I000015,institution,legal identity,open,C39
G000317,I000015,institution,executive leadership,open,C39
G000318,I000015,institution,chair,open,C39
G000319,I000015,institution,funding architecture,open,C39
G000320,I000015,institution,exact legal power/governing instrument,open,C39
G000321,I000015,institution,reconciled audited money-in streams,open,C39
G000322,I000015,institution,money-out routes,open,C39
G000323,I000015,institution,formal decision authority,open,C39
G000324,I000015,institution,artistic/cultural judgement mechanism,open,C39
G000325,I000015,institution,complete governing board,open,C39
G000326,I000015,institution,appointment routes,open,C39
G000327,I000015,institution,scrutiny/accountability powers,open,C39
G000328,I000015,institution,quantified capacity evidence,open,C39
G000329,I000015,institution,strategy claim extraction,open,C39
G000330,I000015,institution,operational commitments,open,C39
G000331,I000015,institution,measurable targets,open,C39
G000332,I000015,institution,claim-linked budget,open,C39
G000333,I000015,institution,outputs,open,C39
G000334,I000015,institution,results,open,C39
G000335,I000054,institution,legal identity,open,C39
G000336,I000054,institution,executive leadership,open,C39
G000337,I000054,institution,chair,open,C39
G000338,I000054,institution,funding architecture,open,C39
G000339,I000054,institution,exact legal power/governing instrument,open,C39
G000340,I000054,institution,reconciled audited money-in streams,open,C39
G000341,I000054,institution,money-out routes,open,C39
G000342,I000054,institution,formal decision authority,open,C39
G000343,I000054,institution,artistic/cultural judgement mechanism,open,C39
G000344,I000054,institution,complete governing board,open,C39
G000345,I000054,institution,appointment routes,open,C39
G000346,I000054,institution,scrutiny/accountability powers,open,C39
G000347,I000054,institution,quantified capacity evidence,open,C39
G000348,I000054,institution,strategy claim extraction,open,C39
G000349,I000054,institution,operational commitments,open,C39
G000350,I000054,institution,measurable targets,open,C39
G000351,I000054,institution,claim-linked budget,open,C39
G000352,I000054,institution,outputs,open,C39
G000353,I000054,institution,results,open,C39
G000354,I000038,institution,legal identity,open,C39
G000355,I000038,institution,executive leadership,open,C39
G000356,I000038,institution,chair,open,C39
G000357,I000038,institution,funding architecture,open,C39
G000358,I000038,institution,exact legal power/governing instrument,open,C39
G000359,I000038,institution,reconciled audited money-in streams,open,C39
G000360,I000038,institution,money-out routes,open,C39
G000361,I000038,institution,formal decision authority,open,C39
G000362,I000038,institution,artistic/cultural judgement mechanism,open,C39
G000363,I000038,institution,complete governing board,open,C39
G000364,I000038,institution,appointment routes,open,C39
G000365,I000038,institution,scrutiny/accountability powers,open,C39
G000366,I000038,institution,quantified capacity evidence,open,C39
G000367,I000038,institution,strategy claim extraction,open,C39
G000368,I000038,institution,operational commitments,open,C39
G000369,I000038,institution,measurable targets,open,C39
G000370,I000038,institution,claim-linked budget,open,C39
G000371,I000038,institution,outputs,open,C39
G000372,I000038,institution,results,open,C39
G000373,I000045,institution,chair,open,C39
G000374,I000045,institution,exact legal power/governing instrument,open,C39
G000375,I000045,institution,reconciled audited money-in streams,open,C39
