funding_stream_id,place_id,fund_name,source_department,period,amount_as_published,unit,introduced_in
FS00001,PL00002,Transport for City Regions,DfT,2026/27,£3.243m R + £11.214m C,GBP,C38
FS00002,PL00002,Transport for City Regions,DfT,2027/28,£13.297m R + £189.455m C,GBP,C38
FS00003,PL00002,Transport for City Regions,DfT,2028/29,£13.297m R + £238.634m C,GBP,C38
FS00004,PL00002,Transport for City Regions,DfT,2029/30,£310.699m C,GBP,C38
FS00005,PL00002,City Region Sustainable Transport,DfT,2026/27,£10.240m R + £142.999m C,GBP,C38
FS00006,PL00002,Bus Grant,DfT,2026/27–2028/29,£21.417059m R/year,GBP,C38
FS00007,PL00002,Adult Skills Fund,DWP,2026/27–2028/29,£56.783451m; £57.538140m; £57.933453m R,GBP,C38
FS00008,PL00002,Connect to Work,DWP,2026/27–2028/29,£9.579053m; £13.141208m; £12.879633m R,GBP,C38
FS00009,PL00002,National Housing Delivery Fund,MHCLG,2026/27–2029/30,£15.47m; £14.16m; £34.46m; £37.23m C,GBP,C38
FS00010,PL00002,Local Growth Fund,MHCLG,2026/27–2029/30,£12.693180m R+£4.227157m C; £11.364565m R+£6.340736m C; £9.301792m R+£12.681472m C; £19.022209m C,GBP,C38
FS00011,PL00002,Investment Zones,MHCLG,2026/27–2029/30,£3.012837m R+£8.275929m C; £6.284460m R+£13.290541m C; £5.353143m R+£5.345380m C; £9m C,GBP,C38
FS00012,PL00002,Creative Places Growth Fund,DCMS,2026/27–2028/29,£4.915m R+£3.333333m C; £4.966667m R+£3.333333m C; £4.941667m R+£3.333333m C,GBP,C38
FS00013,PL00002,Warm Homes Social Housing,DESNZ,2026/27,£13.902m C,GBP,C38
