institution_id,public_name,legal_identity,plain_function,legal_power_basis,legacy_source_ids,introduced_in,last_modified_in
I000001,Arts Council England,,,,,C51,C51
I000002,Arts University Bournemouth,Not yet evidenced,"Arts university institution in Poole, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000003,Birmingham Royal Ballet,Birmingham Royal Ballet,"Ballet institution in Birmingham, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000004,Bristol Old Vic,Bristol Old Vic and Theatre Royal Trust Ltd,"Theatre institution in Bristol, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000005,British Museum,Not yet evidenced,"Museum institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000006,Central Saint Martins,Not yet evidenced,"Art and design school institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000007,Citizens Theatre,Citizens Theatre Ltd,"Theatre institution in Glasgow, Scotland. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000008,Courtauld Institute of Art,Not yet evidenced,"Art history / conservation / gallery institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000009,English National Ballet,,,,,C51,C51
I000010,English National Opera,Not yet evidenced,"Opera institution in London / Greater Manchester transition, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000011,Falmouth University,Not yet evidenced,"Creative arts university institution in Falmouth, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000012,Glasgow School of Art,The Glasgow School of Art,"Art school institution in Glasgow, Scotland. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000013,"Goldsmiths, University of London",Not yet evidenced,"Art / humanities university institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000014,Greater Manchester,,,,,C51,C51
I000015,Guildhall School of Music & Drama,Not yet evidenced,"Conservatoire institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000016,Imperial War Museums,Not yet evidenced,"Museum group institution in England, England. Detailed function statement not yet evidenced.",Not yet evidenced,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,C51,C51
I000017,Liverpool City Region,,,,,C51,C51
