area,fund,home_department,period,amount_as_published,source_id,locator
North East,Creative Places Growth Fund,"Department for Culture, Media and Sport",2026/27,"£4,915,000 RDEL + £3,333,333 CDEL",NE-IS-2026,p.3 / economic development and regeneration
North East,Creative Places Growth Fund,"Department for Culture, Media and Sport",2027/28,"£4,966,667 RDEL + £3,333,333 CDEL",NE-IS-2026,p.3 / economic development and regeneration
North East,Creative Places Growth Fund,"Department for Culture, Media and Sport",2028/29,"£4,941,667 RDEL + £3,333,333 CDEL",NE-IS-2026,p.3 / economic development and regeneration
North East,Total Integrated Settlement quantum,Multiple departments,2026/27,"£419,147,046",NE-IS-2026,p.3 total quantum
North East,Total Integrated Settlement quantum,Multiple departments,2027/28,"£451,315,691",NE-IS-2026,p.3 total quantum
North East,Total Integrated Settlement quantum,Multiple departments,2028/29,"£549,554,368",NE-IS-2026,p.3 total quantum
North East,Total Integrated Settlement quantum,Multiple departments,2029/30,"£450,067,473",NE-IS-2026,p.3 total quantum
South Yorkshire,Total Integrated Settlement quantum,Multiple departments,2026/27,"£278,896,326",SY-IS-2026,p.3 total quantum
South Yorkshire,Total Integrated Settlement quantum,Multiple departments,2027/28,"£319,855,677",SY-IS-2026,p.3 total quantum
South Yorkshire,Total Integrated Settlement quantum,Multiple departments,2028/29,"£392,768,530",SY-IS-2026,p.3 total quantum
South Yorkshire,Total Integrated Settlement quantum,Multiple departments,2029/30,"£359,365,632",SY-IS-2026,p.3 total quantum
