financial_year,legacy_e_code,ons_code,local_authority,class,original_service_label,original_value_thousand_gbp,value_gbp,source_file,source_sheet,source_locator,original_measure_heading
2014/15,E0101,,E06000022,SW,Archives,180,180000.0,Revenue_Outturn__RO5__data_2014-15_by_LA_-_02-Feb-2016.xlsx,RO5 LA Data 2014-15 (3),"row 15, column 7",Net Current Expenditure (C7 = C3 - C6)
2014/15,E0101,,E06000022,SW,Arts development and support,516,516000.0,Revenue_Outturn__RO5__data_2014-15_by_LA_-_02-Feb-2016.xlsx,RO5 LA Data 2014-15 (3),"row 15, column 9",Net Current Expenditure (C7 = C3 - C6)
2014/15,E0101,,E06000022,SW,Heritage,-5403,-5403000.0,Revenue_Outturn__RO5__data_2014-15_by_LA_-_02-Feb-2016.xlsx,RO5 LA Data 2014-15 (3),"row 15, column 11",Net Current Expenditure (C7 = C3 - C6)
2014/15,E0101,,E06000022,SW,Museums and galleries,0,0.0,Revenue_Outturn__RO5__data_2014-15_by_LA_-_02-Feb-2016.xlsx,RO5 LA Data 2014-15 (3),"row 15, column 13",Net Current Expenditure (C7 = C3 - C6)
2014/15,E0101,,E06000022,SW,Theatres and public entertainment,0,0.0,Revenue_Outturn__RO5__data_2014-15_by_LA_-_02-Feb-2016.xlsx,RO5 LA Data 2014-15 (3),"row 15, column 15",Net Current Expenditure (C7 = C3 - C6)
2014/15,E0101,,E06000022,SW,Library service,2765,2765000.0,Revenue_Outturn__RO5__data_2014-15_by_LA_-_02-Feb-2016.xlsx,RO5 LA Data 2014-15 (3),"row 15, column 29",Net Current Expenditure (C7 = C3 - C6)
2014/15,E0102,,E06000023,SW,Archives,325,325000.0,Revenue_Outturn__RO5__data_2014-15_by_LA_-_02-Feb-2016.xlsx,RO5 LA Data 2014-15 (3),"row 16, column 7",Net Current Expenditure (C7 = C3 - C6)
2014/15,E0102,,E06000023,SW,Arts development and support,3726,3726000.0,Revenue_Outturn__RO5__data_2014-15_by_LA_-_02-Feb-2016.xlsx,RO5 LA Data 2014-15 (3),"row 16, column 9",Net Current Expenditure (C7 = C3 - C6)
2014/15,E0102,,E06000023,SW,Heritage,978,978000.0,Revenue_Outturn__RO5__data_2014-15_by_LA_-_02-Feb-2016.xlsx,RO5 LA Data 2014-15 (3),"row 16, column 11",Net Current Expenditure (C7 = C3 - C6)
2014/15,E0102,,E06000023,SW,Museums and galleries,5531,5531000.0,Revenue_Outturn__RO5__data_2014-15_by_LA_-_02-Feb-2016.xlsx,RO5 LA Data 2014-15 (3),"row 16, column 13",Net Current Expenditure (C7 = C3 - C6)
2014/15,E0102,,E06000023,SW,Theatres and public entertainment,30,30000.0,Revenue_Outturn__RO5__data_2014-15_by_LA_-_02-Feb-2016.xlsx,RO5 LA Data 2014-15 (3),"row 16, column 15",Net Current Expenditure (C7 = C3 - C6)
2014/15,E0102,,E06000023,SW,Library service,6140,6140000.0,Revenue_Outturn__RO5__data_2014-15_by_LA_-_02-Feb-2016.xlsx,RO5 LA Data 2014-15 (3),"row 16, column 29",Net Current Expenditure (C7 = C3 - C6)
2014/15,E0103,,E06000025,SW,Archives,150,150000.0,Revenue_Outturn__RO5__data_2014-15_by_LA_-_02-Feb-2016.xlsx,RO5 LA Data 2014-15 (3),"row 17, column 7",Net Current Expenditure (C7 = C3 - C6)
2014/15,E0103,,E06000025,SW,Arts development and support,53,53000.0,Revenue_Outturn__RO5__data_2014-15_by_LA_-_02-Feb-2016.xlsx,RO5 LA Data 2014-15 (3),"row 17, column 9",Net Current Expenditure (C7 = C3 - C6)
