ONS_code,LA_LGF_code,LA_name,class,subclass,region,start_period,end_period,change_note
E08000038,E4401,Barnsley,Met District,Met District,South Yorkshire,202603,nan,Previous ONS code (E08000016) replaced from 202603 due to boundary change.
E08000039,E4404,Sheffield,Met District,Met District,South Yorkshire,202603,nan,Previous ONS code (E08000019) replaced from 202603 due to boundary change.
E06000001,E0701,Hartlepool UA,Unitary Authority,Unitary Authority,North East,201803,nan,nan
E06000002,E0702,Middlesbrough UA,Unitary Authority,Unitary Authority,North East,201803,nan,nan
E06000003,E0703,Redcar & Cleveland UA,Unitary Authority,Unitary Authority,North East,201803,nan,nan
E06000004,E0704,Stockton-on-Tees UA,Unitary Authority,Unitary Authority,North East,201803,nan,nan
E06000005,E1301,Darlington UA,Unitary Authority,Unitary Authority,North East,201803,nan,nan
E06000006,E0601,Halton UA,Unitary Authority,Unitary Authority,North West,201803,nan,nan
E06000007,E0602,Warrington UA,Unitary Authority,Unitary Authority,North West,201803,nan,nan
E06000008,E2301,Blackburn with Darwen UA,Unitary Authority,Unitary Authority,North West,201803,nan,nan
E06000009,E2302,Blackpool UA,Unitary Authority,Unitary Authority,North West,201803,nan,nan
E06000010,E2002,Kingston-upon-Hull UA,Unitary Authority,Unitary Authority,Yorkshire and The Humber,201803,nan,nan
E06000011,E2001,East Riding of Yorkshire UA,Unitary Authority,Unitary Authority,Yorkshire and The Humber,201803,nan,nan
E06000012,E2003,North East Lincolnshire UA,Unitary Authority,Unitary Authority,Yorkshire and The Humber,201803,nan,nan
E06000013,E2004,North Lincolnshire UA,Unitary Authority,Unitary Authority,Yorkshire and The Humber,201803,nan,nan
E06000014,E2701,York UA,Unitary Authority,Unitary Authority,Yorkshire and The Humber,201803,nan,nan
E06000015,E1001,Derby City UA,Unitary Authority,Unitary Authority,East Midlands,201803,nan,nan
E06000016,E2401,Leicester City UA,Unitary Authority,Unitary Authority,East Midlands,201803,nan,nan
E06000017,E2402,Rutland UA,Unitary Authority,Unitary Authority,East Midlands,201803,nan,nan
E06000018,E3001,Nottingham City UA,Unitary Authority,Unitary Authority,East Midlands,201803,nan,nan
E06000019,E1801,Herefordshire UA,Unitary Authority,Unitary Authority,West Midlands,201803,nan,nan
E06000020,E3201,Telford & the Wrekin UA,Unitary Authority,Unitary Authority,West Midlands,201803,nan,nan
E06000021,E3401,Stoke-on-Trent UA,Unitary Authority,Unitary Authority,West Midlands,201803,nan,nan
E06000022,E0101,Bath & North East Somerset UA,Unitary Authority,Unitary Authority,South West,201803,nan,nan
E06000023,E0102,Bristol UA,Unitary Authority,Unitary Authority,South West,201803,nan,nan
E06000024,E0104,North Somerset UA,Unitary Authority,Unitary Authority,South West,201803,nan,nan
E06000025,E0103,South Gloucestershire UA,Unitary Authority,Unitary Authority,South West,201803,nan,nan
E06000026,E1101,Plymouth UA,Unitary Authority,Unitary Authority,South West,201803,nan,nan
E06000027,E1102,Torbay UA,Unitary Authority,Unitary Authority,South West,201803,nan,nan
E06000028,E1202,Bournemouth Borough Council,Unitary Authority,Unitary Authority,South West,201803,201903.0,"Merged into Bournemouth, Christchurch and Poole in April 2019."
E06000029,E1201,Borough of Poole,Unitary Authority,Unitary Authority,South West,201803,201903.0,"Merged into Bournemouth, Christchurch and Poole in April 2019."
E06000030,E3901,Swindon UA,Unitary Authority,Unitary Authority,South West,201803,nan,nan
E06000031,E0501,Peterborough UA,Unitary Authority,Unitary Authority,East of England,201803,nan,nan
E06000032,E0201,Luton UA,Unitary Authority,Unitary Authority,East of England,201803,nan,nan
E06000033,E1501,Southend-on-Sea UA,Unitary Authority,Unitary Authority,East of England,201803,nan,nan
E06000034,E1502,Thurrock UA,Unitary Authority,Unitary Authority,East of England,201803,nan,nan
E06000035,E2201,Medway Towns UA,Unitary Authority,Unitary Authority,South East,201803,nan,nan
E06000036,E0301,Bracknell Forest UA,Unitary Authority,Unitary Authority,South East,201803,nan,nan
E06000037,E0302,West Berkshire UA,Unitary Authority,Unitary Authority,South East,201803,nan,nan
E06000038,E0303,Reading UA,Unitary Authority,Unitary Authority,South East,201803,nan,nan
E06000039,E0304,Slough UA,Unitary Authority,Unitary Authority,South East,201803,nan,nan
E06000040,E0305,Windsor & Maidenhead UA,Unitary Authority,Unitary Authority,South East,201803,nan,nan
E06000041,E0306,Wokingham UA,Unitary Authority,Unitary Authority,South East,201803,nan,nan
E06000042,E0401,Milton Keynes UA,Unitary Authority,Unitary Authority,South East,201803,nan,nan
E06000043,E1401,Brighton & Hove UA,Unitary Authority,Unitary Authority,South East,201803,nan,nan
E06000044,E1701,Portsmouth UA,Unitary Authority,Unitary Authority,South East,201803,nan,nan
E06000045,E1702,Southampton UA,Unitary Authority,Unitary Authority,South East,201803,nan,nan
E06000046,E2101,Isle of Wight UA,Unitary Authority,Unitary Authority,South East,201803,nan,Fire and Rescue function taken over by Hampshire and Isle of Wight Fire and Rescue Authority in April 2021.
E06000047,E1302,Durham UA,Unitary Authority,Unitary Authority,North East,201803,nan,nan
E06000049,E0603,Cheshire East UA,Unitary Authority,Unitary Authority,North West,201803,nan,nan
E06000050,E0604,Cheshire West and Chester UA,Unitary Authority,Unitary Authority,North West,201803,nan,nan
E06000051,E3202,Shropshire UA,Unitary Authority,Unitary Authority,West Midlands,201803,nan,nan
E06000052,E0801,Cornwall UA,Unitary Authority,Unitary Authority,South West,201803,nan,nan
E06000053,E4001,Isles of Scilly,Unitary Authority,Unitary Authority,South West,201803,nan,nan
E06000054,E3902,Wiltshire UA,Unitary Authority,Unitary Authority,South West,201803,nan,nan
E06000055,E0202,Bedford UA,Unitary Authority,Unitary Authority,East of England,201803,nan,nan
E06000056,E0203,Central Bedfordshire UA,Unitary Authority,Unitary Authority,East of England,201803,nan,nan
E06000057,E2901,Northumberland UA,Unitary Authority,Unitary Authority,North East,201803,nan,nan
E06000058,E1204,"Bournemouth, Christchurch and Poole UA",Unitary Authority,Unitary Authority,South West,202003,nan,"Formed by a merger of Bournemouth, Christchurch and Poole in April 2019."
E06000059,E1203,Dorset UA,Unitary Authority,Unitary Authority,South West,202003,nan,Formed from a split of Dorset in April 2019.
E06000060,E0402,Buckinghamshire UA,Unitary Authority,Unitary Authority,South East,202103,nan,"Formed by a merger of Aylesbury Vale, Chiltern, South Bucks and Wycombe in April 2020."
E06000061,E2801,North Northamptonshire,Unitary Authority,Unitary Authority,East Midlands,202203,nan,"Formed in April 2021, when Corby, East Northamptonshire, Kettering, and Wellingborough were merged."
E06000062,E2802,West Northamptonshire,Unitary Authority,Unitary Authority,East Midlands,202203,nan,"Formed in April 2021, when Daventry, Northampton and South Northamptonshire were merged."
E06000063,E0901,Cumberland Council,Unitary Authority,Unitary Authority,North West,202403,nan,"Formed by a merger of Cumbria, Allerdale, Carlisle and Copeland in April 2023."
E06000064,E0902,Westmorland and Furness,Unitary Authority,Unitary Authority,North West,202403,nan,"Formed by a merger of Cumbria, Barrow-in-Furness, Eden and South Lakeland in April 2023."
