financial_year,legacy_e_code,service,original_marker,source_file,source_sheet,source_locator
2016/17,E4001,Archives,…,RO5_2016-17_data_by_LA.xlsx,RO5 LA Data 2016-17,"row 291, column 12"
2016/17,E4001,Arts development and support,…,RO5_2016-17_data_by_LA.xlsx,RO5 LA Data 2016-17,"row 291, column 19"
2016/17,E4001,Heritage,…,RO5_2016-17_data_by_LA.xlsx,RO5 LA Data 2016-17,"row 291, column 26"
2016/17,E4001,Museums and galleries,…,RO5_2016-17_data_by_LA.xlsx,RO5 LA Data 2016-17,"row 291, column 33"
2016/17,E4001,Theatres and public entertainment,…,RO5_2016-17_data_by_LA.xlsx,RO5 LA Data 2016-17,"row 291, column 40"
2016/17,E4001,Library service,…,RO5_2016-17_data_by_LA.xlsx,RO5 LA Data 2016-17,"row 291, column 89"
2016/17,E7012,Archives,…,RO5_2016-17_data_by_LA.xlsx,RO5 LA Data 2016-17,"row 423, column 12"
2016/17,E7012,Arts development and support,…,RO5_2016-17_data_by_LA.xlsx,RO5 LA Data 2016-17,"row 423, column 19"
2016/17,E7012,Heritage,…,RO5_2016-17_data_by_LA.xlsx,RO5 LA Data 2016-17,"row 423, column 26"
2016/17,E7012,Museums and galleries,…,RO5_2016-17_data_by_LA.xlsx,RO5 LA Data 2016-17,"row 423, column 33"
2016/17,E7012,Theatres and public entertainment,…,RO5_2016-17_data_by_LA.xlsx,RO5 LA Data 2016-17,"row 423, column 40"
2016/17,E7012,Library service,…,RO5_2016-17_data_by_LA.xlsx,RO5 LA Data 2016-17,"row 423, column 89"
