person_id,canonical_name,birth_date,death_date,legacy_life_source_id,introduced_in,last_modified_in,last_verified
P000001,Adrian Noble,,,,C51,C51,2026-09-20
P000002,Akshata Murty,1980-04-25,,BIO-MURTY,C51,C51,2026-09-20
P000003,Alan Borg,,,,C51,C51,2026-09-20
P000004,Alan Bowness,,,,C51,C51,2026-09-20
P000005,Alex Beard,,,,C51,C51,2026-09-20
P000006,Alex Reedijk,,,,C51,C51,2026-09-20
P000007,Alexander Fenton,,,,C51,C51,2026-09-20
P000008,Alexander O Curle,,,,C51,C51,2026-09-20
P000009,Alexandra Butler,,,,C51,C51,2026-09-20
P000010,Amartya Sen,,,,C51,C51,2026-09-20
P000011,Andrew Keith,,,,C51,C51,2026-09-20
P000012,Andrew Leveson,,,,C51,C51,2026-09-20
P000013,Andrew Marr,1959-07-31,,NG-MARR-24,C51,C51,2026-09-20
P000014,Anne Lyden,,,,C51,C51,2026-09-20
P000015,Antonio Pappano,1959-12-30,,BIO-PAPPANO,C51,C51,2026-09-20
P000016,Arthur Banks Skinner,,,,C51,C51,2026-09-20
P000017,Arthur J H Edwards,,,,C51,C51,2026-09-20
P000018,Baroness Minouche Shafik,1962-08-13,,BIO-SHAFIK,C51,C51,2026-09-20
P000019,Bernard Haitink,1929-03-04,2021-10-21,BIO-HAITINK,C51,C51,2026-09-20
P000020,Catherine Goodman,,,,C51,C51,2026-09-20
P000021,Charles Aitken,,,,C51,C51,2026-09-20
P000022,Charles Holroyd,,,,C51,C51,2026-09-20
P000023,Charles Kingsley Adams,,,,C51,C51,2026-09-20
P000024,Charles Saumarez Smith,,,,C51,C51,2026-09-20
P000025,Charles Tate Regan,,,,C51,C51,2026-09-20
P000026,Chris Breward,,,,C51,C51,2026-09-20
P000027,Clare Anderson,,,,C51,C51,2026-09-20
P000028,Claudia Winkleman,1972-01-15,,BIO-WINKLEMAN,C51,C51,2026-09-20
P000029,Clive Forster Cooper,,,,C51,C51,2026-09-20
P000030,Colin Davis,1927-09-25,2013-04-14,BIO-DAVIS,C51,C51,2026-09-20
P000031,D. S. MacColl,,,,C51,C51,2026-09-20
P000032,Daniel Evans,1973-07-31,,BIO-EVANS,C51,C51,2026-09-20
P000033,David J Vallance,,,,C51,C51,2026-09-20
P000034,David Marks,,,,C51,C51,2026-09-20
P000035,David Webster,1903-07-03,1971-05-09,BIO-WEBSTER,C51,C51,2026-09-20
P000036,Diane Coyle,,,,C51,C51,2026-09-20
P000037,Doug Gurr,1964-07,,BIO-GURR,C51,C51,2026-09-20
P000038,Douglas A Allan,,,,C51,C51,2026-09-20
P000039,Edwin Ray Lankester,,,,C51,C51,2026-09-20
P000040,Edwin Ward,,,,C51,C51,2026-09-20
P000041,Elizabeth Esteve-Coll,,,,C51,C51,2026-09-20
P000042,Francis Grant Ogilvie,,,,C51,C51,2026-09-20
P000043,Gabriele Finaldi,1965,,BIO-FINALDI,C51,C51,2026-09-20
P000044,Gavin Rylands de Beer,,,,C51,C51,2026-09-20
P000045,Georg Solti,1912-10-21,1997-09-05,BIO-SOLTI,C51,C51,2026-09-20
P000046,George Osborne,,,,C51,C51,2026-09-20
P000047,George Wilson,,,,C51,C51,2026-09-20
P000048,George Zambellas,,,,C51,C51,2026-09-20
P000049,Gordon Claringbull,,,,C51,C51,2026-09-20
P000050,Gordon Milligan,,,,C51,C51,2026-09-20
P000051,Gordon Rintoul,,,,C51,C51,2026-09-20
P000052,Gordon V Childe,,,,C51,C51,2026-09-20
P000053,Grace Chan,,,,C51,C51,2026-09-20
P000054,Grayson Perry,,,,C51,C51,2026-09-20
P000055,Gregory Doran,1958-11-24,,BIO-DORAN,C51,C51,2026-09-20
P000056,Ian Finlay,,,,C51,C51,2026-09-20
