gap_id,place_id,gap,status,introduced_in
PG00001,PL00001,culture-team FTE,open,C54
PG00002,PL00001,culture administration cost,open,C54
PG00003,PL00001,sector-led body appointment architecture,open,C54
PG00004,PL00001,component settlement reconciliation,open,C54
PG00005,PL00002,culture-team FTE,open,C54
PG00006,PL00002,culture administration budget,open,C54
PG00007,PL00002,artistic assessment panel,open,C54
PG00008,PL00002,assessor appointment route,open,C54
PG00009,PL00002,Creative Places Growth Fund decision machinery,open,C54
PG00010,PL00004,complete officer hierarchy,open,C54
PG00011,PL00004,assessment-panel membership,open,C54
PG00012,PL00004,culture-team FTE,open,C54
PG00013,PL00004,administration cost,open,C54
PG00014,PL00004,You Can Make It Here 2 output table,open,C54
PG00015,PL00003,complete culture-team hierarchy,open,C54
PG00016,PL00003,culture-team FTE,open,C54
PG00017,PL00003,administration cost,open,C54
PG00018,PL00003,complete cultural-grants portfolio,open,C54
PG00019,PL00003,scrutiny powers reconciled to law/constitution,open,C54
