role_id,person_id,institution_id,office,start_date,end_date,place,legacy_source_id,verification_status,introduced_in,last_modified_in
R000001,P000126,I000024,Director,1855,1865,London,NG-DIR,source-scoped,C51,C51
R000002,P000148,I000024,Director,1866,1874,London,NG-DIR,source-scoped,C51,C51
R000003,P000130,I000024,Director,1874,1894,London,NG-DIR,source-scoped,C51,C51
R000004,P000128,I000024,Director,1894,1904,London,NG-DIR,source-scoped,C51,C51
R000005,P000124,I000024,Director,1906,1916,London,NG-DIR,source-scoped,C51,C51
R000006,P000125,I000024,Director,1916,1928,London,NG-DIR,source-scoped,C51,C51
R000007,P000121,I000024,Director,1929,1933,London,NG-DIR,source-scoped,C51,C51
R000008,P000075,I000024,Director,1934,1945,London,NG-DIR,source-scoped,C51,C51
R000009,P000144,I000024,Director,1946,1967,London,NG-DIR,source-scoped,C51,C51
R000010,P000140,I000024,Director,1968,1973,London,NG-DIR,source-scoped,C51,C51
R000011,P000141,I000024,Director,1973,1986,London,NG-DIR,source-scoped,C51,C51
R000012,P000093,I000024,Director,1987,2002,London,NG-DIR,source-scoped,C51,C51
R000013,P000024,I000024,Director,2002,2007,London,NG-DIR,source-scoped,C51,C51
R000014,P000142,I000024,Director,2008,2015,London,NG-DIR,source-scoped,C51,C51
R000015,P000043,I000024,Director,2015,present,London,NG-DIR,source-scoped,C51,C51
R000016,P000132,I000056,Director / predecessor museums,1852,1873,London,VA-DIR,source-scoped,C51,C51
R000017,P000143,I000056,Director,1874,1893,London,VA-DIR,source-scoped,C51,C51
R000018,P000068,I000056,Director,1893,1896,London,VA-DIR,source-scoped,C51,C51
R000019,P000122,I000056,Director,1896,1905,London,VA-DIR,source-scoped,C51,C51
R000020,P000016,I000056,Director,1905,1908,London,VA-DIR,source-scoped,C51,C51
R000021,P000123,I000056,Director,1909,1924,London,VA-DIR,source-scoped,C51,C51
R000022,P000129,I000056,Director,1924,1944,London,VA-DIR,source-scoped,C51,C51
R000023,P000137,I000056,Director,1945,1955,London,VA-DIR,source-scoped,C51,C51
R000024,P000147,I000056,Director,1956,1966,London,VA-DIR,source-scoped,C51,C51
R000025,P000136,I000056,Director,1967,1973,London,VA-DIR,source-scoped,C51,C51
R000026,P000145,I000056,Director,1974,1987,London,VA-DIR,source-scoped,C51,C51
R000027,P000041,I000056,Director,1987,1995,London,VA-DIR,source-scoped,C51,C51
R000028,P000003,I000056,Director,1995,2001,London,VA-DIR,source-scoped,C51,C51
R000029,P000139,I000056,Director,2001,2011,London,VA-DIR,source-scoped,C51,C51
R000030,P000085,I000056,Director,2011,2016,London,VA-DIR,source-scoped,C51,C51
R000031,P000163,I000056,Director,2017,present,London,VA-DIR,source-scoped,C51,C51
R000032,P000022,I000053,Keeper,1897,1906,London,TATE-DIR,source-scoped,C51,C51
R000033,P000031,I000053,Keeper,1906,1911,London,TATE-DIR,source-scoped,C51,C51
R000034,P000021,I000053,Keeper,1911,1917,London,TATE-DIR,source-scoped,C51,C51
R000035,P000021,I000053,Director,1917,1930,London,TATE-DIR,source-scoped,C51,C51
R000036,P000058,I000053,Director,1930,1938,London,TATE-DIR,source-scoped,C51,C51
R000037,P000069,I000053,Director,1938,1964,London,TATE-DIR,source-scoped,C51,C51
R000038,P000101,I000053,Director,1964,1979,London,TATE-DIR,source-scoped,C51,C51
R000039,P000004,I000053,Director,1980,1988,London,TATE-DIR,source-scoped,C51,C51
R000040,P000097,I000053,Director,1988,2017,London,TATE-DIR,source-scoped,C51,C51
R000041,P000080,I000053,Director,2017,present,London,TATE-DIR,source-scoped,C51,C51
R000042,P000110,I000032,Superintendent,1856,1883,London,NHM-DIR,source-scoped,C51,C51
R000043,P000166,I000032,Director,1884,1898,London,NHM-DIR,source-scoped,C51,C51
R000044,P000039,I000032,Director,1898,1907,London,NHM-DIR,source-scoped,C51,C51
R000045,P000078,I000032,Director,1909,1919,London,NHM-DIR,source-scoped,C51,C51
R000046,P000119,I000032,Director,1919,1927,London,NHM-DIR,source-scoped,C51,C51
R000047,P000025,I000032,Director,1927,1938,London,NHM-DIR,source-scoped,C51,C51
R000048,P000029,I000032,Director,1938,1947,London,NHM-DIR,source-scoped,C51,C51
R000049,P000100,I000032,Director,1947,1950,London,NHM-DIR,source-scoped,C51,C51
R000050,P000044,I000032,Director,1950,1960,London,NHM-DIR,source-scoped,C51,C51
R000051,P000152,I000032,Director,1960,1968,London,NHM-DIR,source-scoped,C51,C51
R000052,P000049,I000032,Director,1968,1976,London,NHM-DIR,source-scoped,C51,C51
R000053,P000114,I000032,Director,1976,1988,London,NHM-DIR,source-scoped,C51,C51
R000054,P000092,I000032,Director,1988,2004,London,NHM-DIR,source-scoped,C51,C51
R000055,P000089,I000032,Director,2004,2020,London,NHM-DIR,source-scoped,C51,C51
R000056,P000037,I000032,Director,2020,present,London,NHM-DIR,source-scoped,C51,C51
R000057,P000131,I000030,Director,1857,1895,London,NPG-DIR,source-scoped,C51,C51
R000058,P000138,I000030,Director,1895,1909,London,NPG-DIR,source-scoped,C51,C51
R000059,P000125,I000030,Director,1909,1917,London,NPG-DIR,source-scoped,C51,C51
R000060,P000063,I000030,Director,1917,1927,London,NPG-DIR,source-scoped,C51,C51
R000061,P000133,I000030,Director,1927,1951,London,NPG-DIR,source-scoped,C51,C51
R000062,P000023,I000030,Director,1951,1964,London,NPG-DIR,source-scoped,C51,C51
R000063,P000127,I000030,Director,1964,1967,London,NPG-DIR,source-scoped,C51,C51
R000064,P000145,I000030,Director,1967,1974,London,NPG-DIR,source-scoped,C51,C51
R000065,P000067,I000030,Director,1974,1994,London,NPG-DIR,source-scoped,C51,C51
R000066,P000024,I000030,Director,1994,2002,London,NPG-DIR,source-scoped,C51,C51
R000067,P000116,I000030,Director,2002,2015,London,NPG-DIR,source-scoped,C51,C51
R000068,P000094,I000030,Director,2015,2024,London,NPG-DIR,source-scoped,C51,C51
R000069,P000165,I000030,Director,2024,present,London,NPG-DIR,source-scoped,C51,C51
R000070,P000167,I000026,Director,1859,1869,Edinburgh,NMS-HIST,source-scoped,C51,C51
