person_id,from_institution,to_institution,movement_type,status
peter-hall,Royal Shakespeare Company,National Theatre,artistic leadership,documented career movement
trevor-nunn,Royal Shakespeare Company,National Theatre,artistic leadership,documented career movement
alex-beard,Tate,Royal Ballet and Opera,executive leadership,documented career movement
daniel-evans,Chichester Festival Theatre,Royal Shakespeare Company,artistic leadership,documented career movement
tamara-harvey,Theatr Clwyd,Royal Shakespeare Company,artistic leadership,documented career movement
andrew-leveson,Bridge Theatre,Royal Shakespeare Company,executive leadership,documented career movement
tony-hall,BBC,Royal Ballet and Opera,executive leadership,documented career movement
oliver-mears,Northern Ireland Opera,Royal Ballet and Opera,artistic leadership,documented career movement
paul-reeve,Into Film / BRB / RBO / ETO / RSC,English National Opera,executive/interim leadership,documented career history
helen-shute,Rambert,English National Opera,executive leadership,documented career movement
jenny-mollica,English National Opera,Roundhouse,executive leadership,documented onward movement
