person,from_institution,to_institution
Peter Hall,Royal Shakespeare Company,National Theatre
Trevor Nunn,Royal Shakespeare Company,National Theatre
Alex Beard,Tate,Royal Ballet and Opera
Daniel Evans,Chichester Festival Theatre,Royal Shakespeare Company
Tamara Harvey,Theatr Clwyd,Royal Shakespeare Company
Andrew Leveson,Bridge Theatre,Royal Shakespeare Company
Tony Hall,BBC,Royal Ballet and Opera
Oliver Mears,Northern Ireland Opera,Royal Ballet and Opera
Helen Shute,Rambert,English National Opera
Jenny Mollica,English National Opera,Roundhouse
