release_zip,file,status,reason
sidonie-C21-NATIONAL-AUDIT.zip,data/public_vocabulary.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C21-NATIONAL-AUDIT.zip,data/validation_report_C21_audit.json,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C21-NATIONAL-AUDIT.zip,data/dependence_public_labels.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C21-NATIONAL-AUDIT.zip,data/national_institution_register.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C22-THOROUGH-ENTITY-PASS.zip,data/national_entity_details_pass1.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C22-THOROUGH-ENTITY-PASS.zip,data/validation_report_C22.json,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C22-THOROUGH-ENTITY-PASS.zip,data/acronym_style_guide.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C23-INSTITUTIONS.zip,data/institution_details_C23.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C23-INSTITUTIONS.zip,data/validation_report_C23.json,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C24-MAP-CLEANUP-FINAL.zip,data/relationship_reference_crosswalk_C24.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C24-MAP-CLEANUP-FINAL.zip,data/validation_report_C24.json,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C25-RELATIONSHIP-DEPTH.zip,data/validation_report_C25.json,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C25-RELATIONSHIP-DEPTH.zip,data/relationship_reference_crosswalk_C25_additions.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C26-VISUAL-RESET.zip,data/validation_report_C26.json,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C27-CONTENT-QUALITY.zip,data/validation_report_C27.json,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C28-LEADERSHIP-GOVERNANCE.zip,data/current_leadership_C28.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C28-LEADERSHIP-GOVERNANCE.zip,data/validation_report_C28.json,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C28-LEADERSHIP-GOVERNANCE.zip,data/current_leadership_sources_C28.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C29-DEVOLUTION-MACHINERY.zip,data/devolution_funding_C29.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C29-DEVOLUTION-MACHINERY.zip,data/devolution_diagnostic_C29.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C29-DEVOLUTION-MACHINERY.zip,data/devolution_sources_C29.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C29-DEVOLUTION-MACHINERY.zip,data/devolution_powers_C29.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C29-DEVOLUTION-MACHINERY.zip,data/validation_report_C29.json,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C30-PLACE-BY-PLACE-DEVOLUTION.zip,data/validation_report_C30.json,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C30-PLACE-BY-PLACE-DEVOLUTION.zip,data/place_machinery_sources_C30.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C30-PLACE-BY-PLACE-DEVOLUTION.zip,data/place_machinery_C30.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C31-STRATEGY-MACHINERY-RESULTS.zip,data/strategy_machinery_statuses_C31.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C31-STRATEGY-MACHINERY-RESULTS.zip,data/strategy_machinery_schema_C31.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C31-STRATEGY-MACHINERY-RESULTS.zip,data/validation_report_C31.json,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C31-STRATEGY-MACHINERY-RESULTS.zip,data/strategy_machinery_comparisons_C31.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
sidonie-C32-NATIONAL-EVIDENCE-INFRASTRUCTURE.zip,data/entities_master_C32.csv,ARCHIVE,Superseded by C51 canonical/derived layer; retain as provenance until every page has been dependency-audited.
