reference_id,author,title,date_period,url
R11,DCMS and British Museum,The British Museum framework document 2025 to 2028,6 Feb 2025; updated 18 May 2026,https://www.gov.uk/government/publications/the-british-museum-framework-document-2025-to-2028/the-british-museum-framework-document
R12,DCMS and British Museum,The British Museum Annual Report and Accounts 2025 to 2026,21 Jul 2026; FY 2025–26; HC 277,https://www.gov.uk/government/publications/the-british-museum-annual-report-and-accounts-2025-to-2026
R13,DCMS and V&A,The Victoria and Albert Museum framework document 2025 to 2028,30 Jul 2025,https://www.gov.uk/government/publications/the-victoria-and-albert-museum-framework-document-2025-to-2028/the-victoria-and-albert-museum-framework-document-2025-to-2028
R14,DCMS and V&A,Victoria and Albert Museum Annual Report and Accounts 2025 to 2026,21 Jul 2026; FY 2025–26; HC 563,https://www.gov.uk/government/publications/victoria-and-albert-museum-annual-report-and-accounts-2025-to-2026
R15,DCMS and Tate,The Tate Gallery framework document 2025 to 2028,17 Oct 2025,https://www.gov.uk/government/publications/the-tate-gallery-framework-document-2025-to-2028/the-tate-gallery-framework-document-2025-to-2028
R16,Tate,Tate Gallery Annual Report and Accounts 2025 to 2026,29 Jul 2026; FY 2025–26; HC 280,https://www.gov.uk/government/publications/tate-gallery-annual-report-and-accounts-2025-to-2026
R17,DCMS and National Gallery,The National Gallery framework document 2025 to 2028,15 Jan 2026,https://www.gov.uk/government/publications/the-national-gallery-framework-document-2025-to-2028/the-national-gallery-framework-document-2025-to-2028
R18,National Gallery,The National Gallery Annual Report and Accounts 2025 to 2026,22 Jul 2026; FY 2025–26,https://www.gov.uk/government/publications/the-national-gallery-annual-report-and-accounts-2025-to-2026
R19,DCMS and National Portrait Gallery,The National Portrait Gallery framework document 2026 to 2029,23 Mar 2026,https://www.gov.uk/government/publications/the-national-portrait-gallery-framework-document-2026-to-2029/the-national-portrait-gallery-framework-document-2026-to-2029
R20,DCMS and National Portrait Gallery,National Portrait Gallery Annual Report and Accounts 2025 to 2026,20 Jul 2026; FY 2025–26; HC 467,https://www.gov.uk/government/publications/national-portrait-gallery-annual-report-and-accounts-2025-to-2026
