source_id,title,url
SO1,Scottish Opera — Board of Directors,https://www.scottishopera.org.uk/about-us/the-board-of-scottish-opera/
SO2,Scottish Opera — Staff,https://www.scottishopera.org.uk/about-us/staff/
RCS1,Royal Conservatoire of Scotland — Principal to step down in 2027,https://www.rcs.ac.uk/news-stories/royal-conservatoire-of-scotland-principal-to-step-down-in-2027/
RWCMD1,Royal Welsh College of Music & Drama — Principal and Directors,https://www.rwcmd.ac.uk/person/principal-and-directors
RWCMD2,Royal Welsh College of Music & Drama — Board of Directors,https://www.rwcmd.ac.uk/person/board-of-directors
NMS1,National Museums Scotland — Executive Team,https://www.nms.ac.uk/about-us/leadership/executive-team
NMS2,Scottish Government — Chair reappointed to National Museums Scotland,https://www.gov.scot/publications/public-appointment-chair-reappointed-to-the-board-of-national-museums-scotland/
NMNI1,Northern Ireland Office — Chair and members appointed to National Museums Northern Ireland,https://www.gov.uk/government/news/secretary-of-state-announces-appointment-of-a-new-chair-and-members-to-the-board-of-national-museums-northern-ireland
CITZ1,Citizens Theatre — Our Team,https://citz.co.uk/about/our-team/
CITZ2,Citizens Theatre — Board recruitment information,https://citz.co.uk/opportunities/board-recruitment-infomation/
LYC1,Royal Lyceum Theatre Edinburgh — New Executive Director,https://lyceum.org.uk/news/new-executive-director
