source_id,title,issuer,publication_date,locator,url
ACE1,Arts Council England framework document 2025–2028,DCMS,2025-09-24,"§§1.3,4.2–4.3,5.1,7–10,27; Annex B",https://www.gov.uk/government/publications/the-arts-council-of-england-framework-document-2025-to-2028/the-arts-council-of-england-framework-document-2025-to-2028
BL1,British Library framework document 2025–2028,DCMS,2025-09-25,§§1.1–1.3; later governance sections queued,https://www.gov.uk/government/publications/british-library-framework-document-2025-to-2028/british-library-framework-document-2025-2028
BM1,British Museum framework document 2025–2028,DCMS / British Museum,2025-02-06; updated 2026-05-18,"Current framework; §§5.2,28 updated; deeper extraction queued",https://www.gov.uk/government/publications/the-british-museum-framework-document-2025-to-2028
CCT1,Churches Conservation Trust framework document 2025–2028,DCMS / CCT / Church Commissioners,2025-09-16,"§§1–8.2,10–11,14.3–14.5; Annex B/C",https://www.gov.uk/government/publications/the-churches-conservation-trust-framework-document-2025-to-2028/the-churches-conservation-trust-framework-document-2025-to-2028
HE1,Historic England framework document 2024–2027,DCMS,2024-03-04; updated 2024-08-08,§§1–4; Annex A/C,https://www.gov.uk/government/publications/historic-england-framework-document/historic-england-framework-document
HMG1,Horniman Museum and Gardens framework document 2025–2028,DCMS / Horniman,2025-10-09,Current framework; detailed extraction queued,https://www.gov.uk/government/publications/the-horniman-museum-and-gardens-framework-document-2025-to-2028
IWM1,Imperial War Museum framework document 2025–2028,DCMS / IWM,2025-07-30,§§1–8; Annex A,https://www.gov.uk/government/publications/imperial-war-museum-framework-document-2025-2028/imperial-war-museum-framework-document-2025-2028
NG1,National Gallery framework document 2025–2028,DCMS,2026-01-15,Current framework; detailed extraction queued,https://www.gov.uk/government/publications/the-national-gallery-framework-document-2025-to-2028
NML1,National Museums Liverpool framework document 2025–2028,DCMS / NML,2025-07-22,"§§1–3,33; Annex A",https://www.gov.uk/government/publications/national-museums-liverpool-framework-document-2025-to-2028/national-museums-liverpool-framework-document-2025-to-2028
NHM1,Natural History Museum framework document 2025–2028,DCMS / NHM,2025-08-21,"§§1–8,33; Annex A",https://www.gov.uk/government/publications/natural-history-museum-framework-document-2025-to-2028/natural-history-museum-framework-document-2025-to-2028
RA1,Royal Armouries framework document 2025–2028,DCMS / Royal Armouries,2025-07-02,"§§1–2,33; Annex A",https://www.gov.uk/government/publications/the-royal-armouries-framework-document-2025-2028/the-royal-armouries-framework-document-2025-2028
RMG1,Royal Museums Greenwich framework document 2025–2028,DCMS / RMG,2025-07-18,Current framework; detailed extraction queued,https://www.gov.uk/government/publications/the-royal-museums-greenwich-framework-document-2025-to-2028
SMG1,Science Museum Group framework document 2025–2028,DCMS / SMG,2025-09-05,"§§1–8.4,33; Annexes A–C",https://www.gov.uk/government/publications/science-museum-group-framework-document-2025-2028/science-museum-group-framework-document-2025-2028
SJSM1,Sir John Soane's Museum framework document 2025–2028,DCMS / SJSM,2025-11-10,"§§1–3,8–11,14,28,33; Annexes A–C",https://www.gov.uk/government/publications/sir-john-soanes-museum-framework-document-2025-to-2028/sir-john-soanes-museum-framework-document-2025-to-2028
TATE1,Tate Gallery framework document 2025–2028,DCMS / Tate,2025-10-17,§§1–3; detailed extraction queued,https://www.gov.uk/government/publications/the-tate-gallery-framework-document-2025-to-2028/the-tate-gallery-framework-document-2025-to-2028
VA1,Victoria and Albert Museum framework document 2025–2028,DCMS / V&A,2025-07-30,§§1–3; detailed extraction queued,https://www.gov.uk/government/publications/the-victoria-and-albert-museum-framework-document-2025-to-2028/the-victoria-and-albert-museum-framework-document-2025-to-2028
WALL1,Wallace Collection framework document 2025–2028,DCMS / Wallace Collection,2026-01-19,"§§1–3,8,33; Annex A",https://www.gov.uk/government/publications/the-wallace-collection-framework-document-2025-to-2028/the-wallace-collection-framework-document-2025-to-2028
BFI1,British Film Institute framework document 2026–2029,DCMS,2026-03-20,Current framework; detailed extraction queued,https://www.gov.uk/government/publications/british-film-institute-framework-document
NPG1,National Portrait Gallery framework document 2026–2029,DCMS / NPG,2026-03-23,Current framework; detailed extraction queued,https://www.gov.uk/government/publications/the-national-portrait-gallery-framework-document-2026-to-2029
