overlap_id,institution_id,person_a_id,person_b_id,start_year,end_year,approx_years,interpretation
OV000001,I000024,P000148,P000130,1874,1874,1,institutional overlap only
OV000002,I000024,P000130,P000128,1894,1894,1,institutional overlap only
OV000003,I000024,P000124,P000125,1916,1916,1,institutional overlap only
OV000004,I000024,P000140,P000141,1973,1973,1,institutional overlap only
OV000005,I000024,P000093,P000024,2002,2002,1,institutional overlap only
OV000006,I000024,P000142,P000043,2015,2015,1,institutional overlap only
OV000007,I000024,P000043,P000065,2021,2026,6,institutional overlap only
OV000008,I000024,P000043,P000072,2026,2026,1,institutional overlap only
OV000009,I000024,P000043,P000020,2019,2026,8,institutional overlap only
OV000010,I000024,P000043,P000135,2017,2026,10,institutional overlap only
OV000011,I000024,P000043,P000062,2021,2026,6,institutional overlap only
OV000012,I000024,P000043,P000034,2017,2026,10,institutional overlap only
OV000013,I000024,P000043,P000013,2024,2026,3,institutional overlap only
OV000014,I000024,P000043,P000161,2018,2026,9,institutional overlap only
OV000015,I000024,P000043,P000149,2019,2026,8,institutional overlap only
OV000016,I000024,P000043,P000104,2024,2026,3,institutional overlap only
OV000017,I000024,P000043,P000090,2018,2026,9,institutional overlap only
OV000018,I000024,P000065,P000072,2026,2029,4,institutional overlap only
OV000019,I000024,P000065,P000020,2021,2027,7,institutional overlap only
OV000020,I000024,P000065,P000135,2021,2027,7,institutional overlap only
OV000021,I000024,P000065,P000062,2021,2029,9,institutional overlap only
OV000022,I000024,P000065,P000034,2021,2027,7,institutional overlap only
OV000023,I000024,P000065,P000013,2024,2028,5,institutional overlap only
OV000024,I000024,P000065,P000161,2021,2027,7,institutional overlap only
OV000025,I000024,P000065,P000120,2027,2029,3,institutional overlap only
OV000026,I000024,P000065,P000149,2021,2027,7,institutional overlap only
OV000027,I000024,P000065,P000104,2024,2028,5,institutional overlap only
OV000028,I000024,P000065,P000090,2021,2027,7,institutional overlap only
OV000029,I000024,P000072,P000020,2026,2027,2,institutional overlap only
OV000030,I000024,P000072,P000135,2026,2027,2,institutional overlap only
OV000031,I000024,P000072,P000062,2026,2029,4,institutional overlap only
OV000032,I000024,P000072,P000034,2026,2027,2,institutional overlap only
OV000033,I000024,P000072,P000013,2026,2028,3,institutional overlap only
OV000034,I000024,P000072,P000161,2026,2027,2,institutional overlap only
OV000035,I000024,P000072,P000120,2027,2030,4,institutional overlap only
OV000036,I000024,P000072,P000149,2026,2027,2,institutional overlap only
OV000037,I000024,P000072,P000104,2026,2028,3,institutional overlap only
OV000038,I000024,P000072,P000090,2026,2027,2,institutional overlap only
OV000039,I000024,P000020,P000135,2019,2027,9,institutional overlap only
OV000040,I000024,P000020,P000062,2021,2027,7,institutional overlap only
OV000041,I000024,P000020,P000034,2019,2027,9,institutional overlap only
OV000042,I000024,P000020,P000013,2024,2027,4,institutional overlap only
OV000043,I000024,P000020,P000161,2019,2027,9,institutional overlap only
OV000044,I000024,P000020,P000120,2027,2027,1,institutional overlap only
OV000045,I000024,P000020,P000149,2019,2027,9,institutional overlap only
OV000046,I000024,P000020,P000104,2024,2027,4,institutional overlap only
OV000047,I000024,P000020,P000090,2019,2027,9,institutional overlap only
OV000048,I000024,P000135,P000062,2021,2027,7,institutional overlap only
OV000049,I000024,P000135,P000034,2017,2027,11,institutional overlap only
OV000050,I000024,P000135,P000013,2024,2027,4,institutional overlap only
OV000051,I000024,P000135,P000161,2018,2027,10,institutional overlap only
OV000052,I000024,P000135,P000120,2027,2027,1,institutional overlap only
OV000053,I000024,P000135,P000149,2019,2027,9,institutional overlap only
OV000054,I000024,P000135,P000104,2024,2027,4,institutional overlap only
OV000055,I000024,P000135,P000090,2018,2027,10,institutional overlap only
OV000056,I000024,P000062,P000034,2021,2027,7,institutional overlap only
OV000057,I000024,P000062,P000013,2024,2028,5,institutional overlap only
OV000058,I000024,P000062,P000161,2021,2027,7,institutional overlap only
OV000059,I000024,P000062,P000120,2027,2029,3,institutional overlap only
OV000060,I000024,P000062,P000149,2021,2027,7,institutional overlap only
OV000061,I000024,P000062,P000104,2024,2028,5,institutional overlap only
OV000062,I000024,P000062,P000090,2021,2027,7,institutional overlap only
OV000063,I000024,P000034,P000013,2024,2027,4,institutional overlap only
OV000064,I000024,P000034,P000161,2018,2027,10,institutional overlap only
OV000065,I000024,P000034,P000120,2027,2027,1,institutional overlap only
OV000066,I000024,P000034,P000149,2019,2027,9,institutional overlap only
OV000067,I000024,P000034,P000104,2024,2027,4,institutional overlap only
OV000068,I000024,P000034,P000090,2018,2027,10,institutional overlap only
OV000069,I000024,P000013,P000161,2024,2027,4,institutional overlap only
OV000070,I000024,P000013,P000120,2027,2028,2,institutional overlap only
OV000071,I000024,P000013,P000149,2024,2027,4,institutional overlap only
OV000072,I000024,P000013,P000104,2024,2028,5,institutional overlap only
OV000073,I000024,P000013,P000090,2024,2027,4,institutional overlap only
OV000074,I000024,P000161,P000120,2027,2027,1,institutional overlap only
OV000075,I000024,P000161,P000149,2019,2027,9,institutional overlap only
OV000076,I000024,P000161,P000104,2024,2027,4,institutional overlap only
OV000077,I000024,P000161,P000090,2018,2027,10,institutional overlap only
OV000078,I000024,P000120,P000149,2027,2027,1,institutional overlap only
OV000079,I000024,P000120,P000104,2027,2028,2,institutional overlap only
OV000080,I000024,P000120,P000090,2027,2027,1,institutional overlap only
OV000081,I000024,P000149,P000104,2024,2027,4,institutional overlap only
OV000082,I000024,P000149,P000090,2019,2027,9,institutional overlap only
OV000083,I000024,P000104,P000090,2024,2027,4,institutional overlap only
OV000084,I000056,P000143,P000068,1893,1893,1,institutional overlap only
OV000085,I000056,P000068,P000122,1896,1896,1,institutional overlap only
OV000086,I000056,P000122,P000016,1905,1905,1,institutional overlap only
OV000087,I000056,P000123,P000129,1924,1924,1,institutional overlap only
OV000088,I000056,P000145,P000041,1987,1987,1,institutional overlap only
OV000089,I000056,P000041,P000003,1995,1995,1,institutional overlap only
