edge_id,from_ref,to_ref,edge_type,source_record_id
E000001,P000126,I000024,held_role,R000001
E000002,P000148,I000024,held_role,R000002
E000003,P000130,I000024,held_role,R000003
E000004,P000128,I000024,held_role,R000004
E000005,P000124,I000024,held_role,R000005
E000006,P000125,I000024,held_role,R000006
E000007,P000121,I000024,held_role,R000007
E000008,P000075,I000024,held_role,R000008
E000009,P000144,I000024,held_role,R000009
E000010,P000140,I000024,held_role,R000010
E000011,P000141,I000024,held_role,R000011
E000012,P000093,I000024,held_role,R000012
E000013,P000024,I000024,held_role,R000013
E000014,P000142,I000024,held_role,R000014
E000015,P000043,I000024,held_role,R000015
E000016,P000132,I000056,held_role,R000016
E000017,P000143,I000056,held_role,R000017
E000018,P000068,I000056,held_role,R000018
E000019,P000122,I000056,held_role,R000019
E000020,P000016,I000056,held_role,R000020
E000021,P000123,I000056,held_role,R000021
E000022,P000129,I000056,held_role,R000022
E000023,P000137,I000056,held_role,R000023
E000024,P000147,I000056,held_role,R000024
E000025,P000136,I000056,held_role,R000025
E000026,P000145,I000056,held_role,R000026
E000027,P000041,I000056,held_role,R000027
E000028,P000003,I000056,held_role,R000028
E000029,P000139,I000056,held_role,R000029
E000030,P000085,I000056,held_role,R000030
E000031,P000163,I000056,held_role,R000031
E000032,P000022,I000053,held_role,R000032
E000033,P000031,I000053,held_role,R000033
E000034,P000021,I000053,held_role,R000034
E000035,P000021,I000053,held_role,R000035
E000036,P000058,I000053,held_role,R000036
E000037,P000069,I000053,held_role,R000037
E000038,P000101,I000053,held_role,R000038
E000039,P000004,I000053,held_role,R000039
E000040,P000097,I000053,held_role,R000040
E000041,P000080,I000053,held_role,R000041
E000042,P000110,I000032,held_role,R000042
E000043,P000166,I000032,held_role,R000043
E000044,P000039,I000032,held_role,R000044
E000045,P000078,I000032,held_role,R000045
E000046,P000119,I000032,held_role,R000046
E000047,P000025,I000032,held_role,R000047
E000048,P000029,I000032,held_role,R000048
E000049,P000100,I000032,held_role,R000049
E000050,P000044,I000032,held_role,R000050
E000051,P000152,I000032,held_role,R000051
E000052,P000049,I000032,held_role,R000052
E000053,P000114,I000032,held_role,R000053
E000054,P000092,I000032,held_role,R000054
E000055,P000089,I000032,held_role,R000055
E000056,P000037,I000032,held_role,R000056
E000057,P000131,I000030,held_role,R000057
E000058,P000138,I000030,held_role,R000058
E000059,P000125,I000030,held_role,R000059
E000060,P000063,I000030,held_role,R000060
E000061,P000133,I000030,held_role,R000061
E000062,P000023,I000030,held_role,R000062
E000063,P000127,I000030,held_role,R000063
E000064,P000145,I000030,held_role,R000064
E000065,P000067,I000030,held_role,R000065
E000066,P000024,I000030,held_role,R000066
E000067,P000116,I000030,held_role,R000067
E000068,P000094,I000030,held_role,R000068
E000069,P000165,I000030,held_role,R000069
E000070,P000167,I000026,held_role,R000070
E000071,P000071,I000026,held_role,R000071
E000072,P000008,I000026,held_role,R000072
E000073,P000066,I000026,held_role,R000073
E000074,P000017,I000026,held_role,R000074
E000075,P000052,I000026,held_role,R000075
E000076,P000112,I000026,held_role,R000076
E000077,P000007,I000026,held_role,R000077
E000078,P000047,I000047,held_role,R000078
E000079,P000154,I000047,held_role,R000079
E000080,P000113,I000047,held_role,R000080
E000081,P000042,I000047,held_role,R000081
E000082,P000061,I000047,held_role,R000082
E000083,P000033,I000047,held_role,R000083
E000084,P000155,I000047,held_role,R000084
E000085,P000008,I000047,held_role,R000085
E000086,P000040,I000047,held_role,R000086
E000087,P000156,I000047,held_role,R000087
E000088,P000038,I000047,held_role,R000088
E000089,P000056,I000047,held_role,R000089
E000090,P000102,I000047,held_role,R000090
E000091,P000111,I000047,held_role,R000091
E000092,P000111,I000029,held_role,R000092
E000093,P000082,I000029,held_role,R000093
E000094,P000051,I000029,held_role,R000094
E000095,P000026,I000029,held_role,R000095
E000096,P000107,I000048,held_role,R000096
E000097,P000162,I000048,held_role,R000097
E000098,P000153,I000048,held_role,R000098
E000099,P000001,I000048,held_role,R000099
E000100,P000088,I000048,held_role,R000100
E000101,P000055,I000048,held_role,R000101
E000102,P000032,I000048,held_role,R000102
E000103,P000151,I000048,held_role,R000103
E000104,P000012,I000048,held_role,R000104
E000105,P000077,I000031,held_role,R000105
E000106,P000107,I000031,held_role,R000106
E000107,P000109,I000031,held_role,R000107
E000108,P000162,I000031,held_role,R000108
E000109,P000095,I000031,held_role,R000109
E000110,P000115,I000031,held_role,R000110
E000111,P000057,I000031,held_role,R000111
E000112,P000035,I000037,held_role,R000112
E000113,P000070,I000037,held_role,R000113
E000114,P000064,I000037,held_role,R000114
E000115,P000160,I000037,held_role,R000115
E000116,P000005,I000037,held_role,R000116
E000117,P000045,I000037,held_role,R000117
E000118,P000030,I000037,held_role,R000118
E000119,P000019,I000037,held_role,R000119
E000120,P000015,I000037,held_role,R000120
E000121,P000060,I000037,held_role,R000121
E000122,P000105,I000037,held_role,R000122
E000123,P000096,I000037,held_role,R000123
E000124,P000103,I000037,held_role,R000124
E000125,P000006,I000052,held_role,R000125
E000126,P000150,I000052,held_role,R000126
E000127,P000108,I000052,held_role,R000127
E000128,P000014,I000023,held_role,R000128
E000129,P000074,I000028,held_role,R000129
E000130,P000050,I000028,held_role,R000130
E000131,P000094,I000005,held_role,R000131
E000132,P000053,I000001,held_role,R000132
E000133,P000053,I000009,held_role,R000133
E000134,P000053,I000046,held_role,R000134
E000135,P000053,I000031,held_role,R000135
E000136,P000053,I000019,held_role,R000136
E000137,P000053,I000021,held_role,R000137
E000138,P000046,I000005,held_role,R000138
E000139,P000091,I000005,held_role,R000139
E000140,P000086,I000005,held_role,R000140
E000141,P000087,I000005,held_role,R000141
E000142,P000054,I000005,held_role,R000142
E000143,P000010,I000005,held_role,R000143
E000144,P000036,I000044,held_role,R000144
E000145,P000118,I000044,held_role,R000145
E000146,P000048,I000044,held_role,R000146
E000147,P000065,I000024,held_role,R000147
E000148,P000072,I000024,held_role,R000148
E000149,P000020,I000024,held_role,R000149
E000150,P000135,I000024,held_role,R000150
E000151,P000062,I000024,held_role,R000151
E000152,P000034,I000024,held_role,R000152
E000153,P000013,I000024,held_role,R000153
E000154,P000161,I000024,held_role,R000154
E000155,P000120,I000024,held_role,R000155
E000156,P000149,I000024,held_role,R000156
E000157,P000104,I000024,held_role,R000157
E000158,P000090,I000024,held_role,R000158
E000159,P000079,I000005,held_role,R000159
E000160,P000159,I000005,held_role,R000160
E000161,P000157,I000005,held_role,R000161
E000162,P000084,I000005,held_role,R000162
E000163,P000028,I000005,held_role,R000163
E000164,P000098,I000053,held_role,R000164
E000165,P000134,I000053,held_role,R000165
E000166,P000059,I000053,held_role,R000166
E000167,P000073,I000053,held_role,R000167
E000168,P000158,I000053,held_role,R000168
E000169,P000081,I000056,held_role,R000169
E000170,P000011,I000056,held_role,R000170
E000171,P000002,I000056,held_role,R000171
E000172,P000099,I000056,held_role,R000172
E000173,P000164,I000056,held_role,R000173
E000174,P000106,I000056,held_role,R000174
E000175,P000018,I000056,held_role,R000175
E000176,P000009,I000044,held_role,R000176
E000177,P000117,I000044,held_role,R000177
E000178,P000083,I000044,held_role,R000178
E000179,P000027,I000044,held_role,R000179
E000180,P000076,I000044,held_role,R000180
E000181,P000146,I000044,held_role,R000181
E000182,Secretary of State,I000001,appointment_power,A000001
E000183,Secretary of State,I000001,appointment_power,A000002
E000184,Mayor of London,I000001,appointment_power,A000003
E000185,National Council,I000001,appointment_power,A000004
E000186,Prime Minister,I000051,appointment_power,A000005
E000187,Science Museum Group Board,I000051,appointment_power,A000006
