test,question,evidence_required
Legal competence,What legal power or duty actually exists?,Act / statutory instrument / governing instrument
Fiscal control,Who controls the money before and after devolution?,Settlement / grant determination / budget
Ring-fencing,Can the money be moved to another priority?,Grant conditions / assurance framework
Decision authority,Who makes the allocation or strategy decision?,Constitution / scheme of delegation
Artistic judgement,Who assesses artistic quality and by what criteria?,Assessment framework / panel terms
Appointment power,Who selects those decision-makers?,Appointment record / board terms
Scrutiny / appeal,Who can challenge or scrutinise a decision?,Scrutiny rules / complaints / appeal
Administrative capacity,What specialist cultural staff and institutions exist?,Org chart / staffing / delivery record
Institutional depth,How long has the machinery existed?,Historical records / annual reports
Recipient dependence,How exposed are institutions to one public funder?,Audited accounts / grant records
Asset ownership,"Who owns venues, collections and property?",Accounts / statutes / leases
Delivery model,"Direct service, trust, charity, grant or contract?",Constitution / accounts / contracts
