document_id,title,document_type,issuer,date,effective_from,effective_to,entity_ids,evidence_class,canonical_url,retrieved_date,version_notes
doc-bm-act-1963,British Museum Act 1963,statute,UK Parliament,1963,,,british-museum;natural-history,A1,https://www.legislation.gov.uk/ukpga/1963/24,2026-09-17,
doc-nha-1983,National Heritage Act 1983,statute,UK Parliament,1983,,,va;science-museum;armouries,A1,https://www.legislation.gov.uk/ukpga/1983/47,2026-09-17,
doc-mga-1992,Museums and Galleries Act 1992,statute,UK Parliament,1992,,,tate;national-gallery;npg;wallace,A1,https://www.legislation.gov.uk/ukpga/1992/44,2026-09-17,
doc-nmm-1934,National Maritime Museum Act 1934,statute,UK Parliament,1934,,,rmg,A1,https://www.legislation.gov.uk/ukpga/Geo5/24-25/43,2026-09-17,
doc-iwm-1920,Imperial War Museum Act 1920,statute,UK Parliament,1920,,,iwm,A1,https://www.legislation.gov.uk/ukpga/Geo5/10-11/16,2026-09-17,
doc-iwm-1955,Imperial War Museum Act 1955,statute,UK Parliament,1955,,,iwm,A1,https://www.legislation.gov.uk/ukpga/Eliz2/3-4/14,2026-09-17,
doc-soane-1833,Sir John Soane’s Museum Act 1833,founding statute,UK Parliament,1833,,,soane,A1,https://www.legislation.gov.uk/ukla/Will4/3-4/4,2026-09-17,
doc-nml-1986,Merseyside Museums and Galleries Order 1986,statutory instrument,UK Government,1986,,,nml,A1,https://www.legislation.gov.uk/uksi/1986/226,2026-09-17,
doc-ng-1824,Angerstein Collection of Pictures,parliamentary record,House of Commons,1824-04-02,,,national-gallery,A2,https://api.parliament.uk/historic-hansard/commons/1824/apr/02/angerstein-collection-of-pictures,2026-09-17,
doc-ng-1856,Supply—Miscellaneous Estimates,parliamentary record,House of Commons,1856-04-07,,,national-gallery,A2,https://hansard.parliament.uk/Commons/1856-04-07/debates/9c6723d8-6246-43aa-95a4-e615943b4df9/Supply%E2%80%94MiscellaneousEstimates,2026-09-17,
doc-npg-1856,Gallery of National Portraits,parliamentary record,House of Lords,1856-03-04,,,npg,A2,https://api.parliament.uk/historic-hansard/lords/1856/mar/04/gallery-of-national-portraits,2026-09-17,
doc-moth-ch,Museum of the Home governing-document record,charity governing document,Charity Commission,,,,museum-home,A1,https://register-of-charities.charitycommission.gov.uk/en/constituency-search/-/charity-details/803052/governing-document,2026-09-17,
doc-moth-co,Museum of the Home filing history,corporate filing register,Companies House,,,,museum-home,A1,https://find-and-update.company-information.service.gov.uk/company/02476642/filing-history,2026-09-17,
doc-horniman-ch,Horniman governing-document record,charity governing document,Charity Commission,,,,horniman,A1,https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/802725/full-print,2026-09-17,
