event_id,title,event_type,start_date,end_date,start_time,end_time,venue_id,presenting_institution_id,city,country,artists_or_participants,short_description,sidonie_note,official_event_url,booking_url,price_min,price_max,currency,featured,status,source_id,last_verified_date,notes,discovered_via,sidonie_recommended
evt-20260916-dunedin-wigmore,"CPE Bach, Haydn, Martínez and Mozart",concert,2026-09-16,,19:30,,venue-wigmore-hall,,London,United Kingdom,Dunedin Consort,,,,,18,50,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Series: Early Music at Wigmore Hall,Continuo Connect,
evt-20260918-monteverdi-vespers,Monteverdi Vespers,concert,2026-09-18,,19:30,,venue-kings-place,,London,United Kingdom,ECSE | I Fagiolini,,,,,28,70,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Series: Early Music at Kings Place,Continuo Connect,
evt-20260919-signs-secrets,Signs and Secrets,concert,2026-09-19,,19:00,,venue-st-james-church-n1,,London,United Kingdom,Dowland's Foundry,,,,,20,,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Concessions available; Islington Proms,Continuo Connect,
evt-20260920-do-disturb-circles-1700,DO disturb my Circles,concert,2026-09-20,,17:00,,venue-rocketvan-studio,,London,United Kingdom,ZAREKTRIO,,,,,15,,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,"Concessions available; Old Sounds, new Unrest",Continuo Connect,
evt-20260920-do-disturb-circles-1900,DO disturb my Circles,concert,2026-09-20,,19:00,,venue-rocketvan-studio,,London,United Kingdom,ZAREKTRIO,,,,,15,,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,"Concessions available; Old Sounds, new Unrest. Same programme appears at 17:00 and 19:00; retained as separate performance records for test.",Continuo Connect,
evt-20260921-beethoven-haydn-schubert,Beethoven Haydn Schubert,concert,2026-09-21,,19:30,,venue-cadogan-hall,,London,United Kingdom,The Hanover Band,,,,,22.50,54,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,,Continuo Connect,
evt-20260923-bestiaries-bishops,Of Bestiaries & Bishops,concert,2026-09-23,,19:30,,venue-st-sepulchre,,London,United Kingdom,Green Dragon Guild of London,,,,,20,,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Concessions available,Continuo Connect,
evt-20260924-dinner-handel,Dinner with Handel,concert,2026-09-24,,19:00,,venue-st-georges-hanover-square,,London,United Kingdom,Cambridge Handel Opera,,,,,15,55,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,London Handel Festival,Continuo Connect,
evt-20260927-goldberg-rondeau,Goldberg Variations,concert,2026-09-27,,14:00,,venue-queen-elizabeth-hall,,London,United Kingdom,Jean Rondeau,,,,,24,,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Price shown as 'From £24'; Southbank Centre,Continuo Connect,
evt-20260927-organ-kenwood-1400,18th Century Organ Sings Again,concert,2026-09-27,,14:00,,venue-kenwood-house,,London,United Kingdom,SARABAND,,,,,0,0,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Free; first of two performances,Continuo Connect,
evt-20260927-organ-kenwood-1515,18th Century Organ Sings Again,concert,2026-09-27,,15:15,,venue-kenwood-house,,London,United Kingdom,SARABAND,,,,,0,0,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,Free; second of two performances,Continuo Connect,
evt-20260927-let-them-eat-cake,Let them eat Cake,concert,2026-09-27,,17:00,,venue-rocketvan-studio,,London,United Kingdom,ZAREKTRIO,,,,,15,,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,"Concessions available; Old Sounds, new Unrest",Continuo Connect,
evt-20260927-la-serenissima-iken,La Serenissima,concert,2026-09-27,,19:30,,venue-all-saints-blackheath,,London,United Kingdom,Iken Scholars,,,,,10,15,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,,Continuo Connect,
evt-20260928-still-loud-noise,Of Still and Loud Noise,concert,2026-09-28,,19:00,,venue-golden-hinde,,London,United Kingdom,The Morley Consort,,,,,15,15,GBP,FALSE,upcoming,src-continuo-london-20260915,2026-09-15,,Continuo Connect,
