flow_id,from_entity_id,to_entity_id,flow_type,period_start,period_end,amount_gbp,restricted_status,capital_or_revenue,document_id,locator,notes
flow-gia-2425-ace,dcms,ace,Grant-in-Aid,2024-04-01,2025-03-31,569533000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-bbc,dcms,bbc,Grant-in-Aid,2024-04-01,2025-03-31,3836450000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-bfi,dcms,bfi,Grant-in-Aid,2024-04-01,2025-03-31,34666000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-british-museum,dcms,british-museum,Grant-in-Aid,2024-04-01,2025-03-31,74201000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-museum-home,dcms,museum-home,Grant-in-Aid,2024-04-01,2025-03-31,1938000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-historic-england,dcms,historic-england,Grant-in-Aid,2024-04-01,2025-03-31,83007000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-horniman,dcms,horniman,Grant-in-Aid,2024-04-01,2025-03-31,5975000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-iwm,dcms,iwm,Grant-in-Aid,2024-04-01,2025-03-31,33253000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-national-gallery,dcms,national-gallery,Grant-in-Aid,2024-04-01,2025-03-31,30770000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-rmg,dcms,rmg,Grant-in-Aid,2024-04-01,2025-03-31,26899000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-nml,dcms,nml,Grant-in-Aid,2024-04-01,2025-03-31,25835000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-npg,dcms,npg,Grant-in-Aid,2024-04-01,2025-03-31,10986000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-natural-history,dcms,natural-history,Grant-in-Aid,2024-04-01,2025-03-31,89317000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-armouries,dcms,armouries,Grant-in-Aid,2024-04-01,2025-03-31,8165000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-science-museum,dcms,science-museum,Grant-in-Aid,2024-04-01,2025-03-31,62190000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-soane,dcms,soane,Grant-in-Aid,2024-04-01,2025-03-31,1259000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-tate,dcms,tate,Grant-in-Aid,2024-04-01,2025-03-31,53903000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-va,dcms,va,Grant-in-Aid,2024-04-01,2025-03-31,56239000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
flow-gia-2425-wallace,dcms,wallace,Grant-in-Aid,2024-04-01,2025-03-31,3347000,not classified in this common table,mixed/unspecified at table level,doc-dcms-ara-2024-25,"Note 4.1.1, p.156",Cash-basis Grant-in-Aid outturn; not total income. Institution accounts required for capital/revenue/restriction split.
