institution_name,current_leader,current_role,chair,other_leadership,arts_council_england_2024_25_m
Royal Ballet and Opera,,,,,24.12
English National Opera,,,,,12.75
Opera North,Richard Mantle,General Director,,,10.04
Welsh National Opera,Adele Thomas,General Director,,,5.56
Scottish Opera,Alex Reedijk OBE FRC,General Director,Peter Lawson CBE,Stuart Stratford — Music Director,
Birmingham Royal Ballet,Carlos Acosta,Director,,,8.17
Northern Ballet,,,,,2.79
National Theatre,,,,,22.64
Royal Shakespeare Company,,,,,15.26
Sadler’s Wells,,,,,
Royal Exchange Theatre,,,,,2.37
Bristol Old Vic,Nancy Medina,Artistic Director & Joint CEO,,Rebecca Dawson — Executive Director & Joint CEO,
Liverpool Everyman & Playhouse,,,,,
Royal Lyceum Theatre Edinburgh,James Brining,Artistic Director,Tari Lang,Lyndsey Jackson — Executive Director,
Citizens Theatre,Dominic Hill,Artistic Director & Joint CEO,,Kate Denby — Executive Director & Joint CEO,
Lyric Theatre Belfast,Jimmy Fay,Executive Producer,Sir Bruce Robinson,Mike Mullan — Deputy Chair,
Royal Academy of Music,,,,,
Royal College of Music,,,,,
Guildhall School of Music & Drama,,,,,
Trinity Laban Conservatoire of Music and Dance,,,,,
Royal Birmingham Conservatoire,,,,,
Royal Northern College of Music,Linda Merrick CBE,Principal,,Chair of Conservatoires UK,
Royal Welsh College of Music & Drama,Helena Gaunt,Principal,,Tim Rhys-Evans — Director of Music; Sean Crowley — Director of Drama,
Royal Conservatoire of Scotland,Jeffrey Sharkey,Principal,,Departure announced for summer 2027,
Royal College of Art,,,,,
University of the Arts London,,,,,
Central Saint Martins,,,,,
Glasgow School of Art,Penny Macbeth,Director,,,
"Goldsmiths, University of London",,,,,
Courtauld Institute of Art,,,,,
Falmouth University,,,,,
Arts University Bournemouth,,,,,
Norwich University of the Arts,,,,,
British Museum,,,,,
National Gallery,,,,,
Tate,,,,,
Victoria and Albert Museum,,,,,
Natural History Museum,,,,,
Science Museum Group,,,,,
National Museums Liverpool,,,,,
Imperial War Museums,,,,,
Royal Museums Greenwich,,,,,
National Museum Wales,Jane Richardson,Chief Executive,,,
National Museums Scotland,Chris Breward,Director,,Sam Alberti — Director of Collections; Ruth Gill — Director of Public Programmes,
National Museums Northern Ireland,Kathryn Thomson,Chief Executive,Gordon Milligan OBE,William Blair — Director of Collections; Colin Catney — Chief Operating Officer,
