entity,framework,legal_governance,audited_finance,complete_board,appointment_routes,strategy_outputs,next_action
Arts Council England,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
British Film Institute,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
British Library,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
British Museum,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
Churches Conservation Trust,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
Historic England,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
Horniman Museum and Gardens,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
Imperial War Museums,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
National Gallery,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
National Museums Liverpool,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
National Portrait Gallery,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
Natural History Museum,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
Royal Armouries,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
Royal Museums Greenwich,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
Science Museum Group,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
Sir John Soane's Museum,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
Tate,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
Victoria and Albert Museum,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
Wallace Collection,yes,partial,pending,pending,pending,pending,Accounts + board join required before finance/governance comparisons
