date,event,document_or_change,evidence_class,source
1990-03-02,Incorporation,Memorandum and Articles incorporated,Constitutive record,Charity Commission governing-document record
1997-10-21,Amendment,Special resolution amendment,Constitutive record,Charity Commission governing-document record
1999-10-26,Amendment,Special resolution amendment,Constitutive record,Charity Commission governing-document record
2013-09-19,New Articles,Articles adopted by special resolution,Constitutive record,Charity Commission governing-document record
2017-07-04,Amendment,Articles amended,Constitutive record,Charity Commission governing-document record
2020-09-09,Objects / Articles amendment,Articles amended; Companies House separately records a statement of company objects filed 6 Oct 2020,Constitutive filing,Charity Commission + Companies House
2021-04-09,Articles filed,Memorandum and Articles filed at Companies House (15 pages),Primary corporate filing,Companies House
2021-06-16,Articles altered,Resolution of alteration of Articles filed (4 pages),Primary corporate filing,Companies House
2026-03-17,New Articles adopted,Resolution adopts Articles and resolves name change,Primary corporate filing,Companies House
2026-04-22,Legal name change,The Geffrye Museum Trust → The Museum of the Home,Primary corporate filing,Companies House
2026-04-24,2026 Articles filed,Memorandum and Articles filed (15 pages),Primary corporate filing,Companies House
