institution_name,sector,location,nation,legal_context
Royal Ballet and Opera,Opera and ballet,London,England,Charity
English National Opera,Opera,London / Greater Manchester transition,England,Charity / company
Opera North,Opera,Leeds,England,Charity / company
Welsh National Opera,Opera,Cardiff,Wales,Charity / company
Scottish Opera,Opera,Glasgow,Scotland,Charity / company
Birmingham Royal Ballet,Ballet,Birmingham,England,Charity / company
Northern Ballet,Ballet,Leeds,England,Charity / company
National Theatre,Theatre,London,England,Charity
Royal Shakespeare Company,Theatre,Stratford-upon-Avon,England,Charity
Sadler’s Wells,Dance / theatre,London,England,Charity
Royal Exchange Theatre,Theatre,Manchester,England,Charity
Bristol Old Vic,Theatre,Bristol,England,Charity
Liverpool Everyman & Playhouse,Theatre,Liverpool,England,Charity
Royal Lyceum Theatre Edinburgh,Theatre,Edinburgh,Scotland,Charity
Citizens Theatre,Theatre,Glasgow,Scotland,Charity
Lyric Theatre Belfast,Theatre,Belfast,Northern Ireland,Charity
Royal Academy of Music,Conservatoire,London,England,Charity / higher education
Royal College of Music,Conservatoire,London,England,Charity / higher education
Guildhall School of Music & Drama,Conservatoire,London,England,City of London institution
Trinity Laban Conservatoire of Music and Dance,Conservatoire,London,England,Higher education / charity
Royal Birmingham Conservatoire,Conservatoire,Birmingham,England,University conservatoire
Royal Northern College of Music,Conservatoire,Manchester,England,Higher education / charity
Royal Welsh College of Music & Drama,Conservatoire,Cardiff,Wales,Higher education
Royal Conservatoire of Scotland,Conservatoire,Glasgow,Scotland,Higher education / charity
Royal College of Art,Art and design school,London,England,Higher education
University of the Arts London,Art and design university,London,England,Higher education / exempt charity
Central Saint Martins,Art and design school,London,England,College of University of the Arts London
Glasgow School of Art,Art school,Glasgow,Scotland,Higher education / charity
"Goldsmiths, University of London",Art / humanities university,London,England,Higher education
Courtauld Institute of Art,Art history / conservation / gallery,London,England,Higher education / charity
Falmouth University,Creative arts university,Falmouth,England,Higher education
Arts University Bournemouth,Arts university,Poole,England,Higher education
Norwich University of the Arts,Arts university,Norwich,England,Higher education
British Museum,Museum,London,England,Exempt charity / statutory body
National Gallery,Gallery,London,England,Exempt charity / statutory body
Tate,Gallery group,London / Liverpool,England,Exempt charity / statutory body
Victoria and Albert Museum,Museum,London,England,Exempt charity / statutory body
Natural History Museum,Museum,London,England,Exempt charity / statutory body
Science Museum Group,Museum group,England,England,Exempt charity / statutory body
National Museums Liverpool,Museum group,Liverpool,England,Exempt charity / public body
Imperial War Museums,Museum group,England,England,Exempt charity / statutory body
Royal Museums Greenwich,Museum group,London,England,Exempt charity / public body
National Museum Wales,Museum group,Wales,Wales,Welsh public body / charity context
National Museums Scotland,Museum group,Scotland,Scotland,Scottish public body / charity context
National Museums Northern Ireland,Museum group,Northern Ireland,Northern Ireland,Public body / charity context
