person,birth_date,death_date,source_id
Laurence Olivier,1907-05-22,1989-07-11,BIO-OLIVIER
Peter Hall,1930-11-22,2017-09-11,BIO-HALL
Richard Eyre,1943-03-28,,BIO-EYRE
Trevor Nunn,1940-01-14,,BIO-NUNN
Nicholas Hytner,1956-05-07,,BIO-HYTNER
Rufus Norris,1965-01-16,,BIO-NORRIS
Sir Charles Lock Eastlake,1793-11-17,1865-12-24,BIO-EASTLAKE
Kenneth Clark,1903-07-13,1983-05-21,BIO-CLARK
Neil MacGregor,1946-06-16,,BIO-MACGREGOR
Gabriele Finaldi,1965,,BIO-FINALDI
Sir Henry Cole,1808-07-15,1882-04-18,BIO-COLE
Sir John Pope-Hennessy,1913-12-13,1994-10-31,BIO-POPEH
Sir Roy Strong,1935-08-23,,BIO-STRONG
Tristram Hunt,1974-05-31,,BIO-HUNT
Nicholas Serota,1946-04-27,,BIO-SEROTA
Maria Balshaw,1970-01-24,,BIO-BALSHAW
Richard Owen,1804-07-20,1892-12-18,BIO-OWEN
Doug Gurr,1964-07,,BIO-GURR
Sir George Scharf,1820-12-16,1895-04-19,BIO-SCHARF
Nicholas Cullinan,1977,,BIO-CULLINAN
Victoria Siddall,1977,,BIO-SIDDALL
Gregory Doran,1958-11-24,,BIO-DORAN
Daniel Evans,1973-07-31,,BIO-EVANS
David Webster,1903-07-03,1971-05-09,BIO-WEBSTER
Georg Solti,1912-10-21,1997-09-05,BIO-SOLTI
Colin Davis,1927-09-25,2013-04-14,BIO-DAVIS
Bernard Haitink,1929-03-04,2021-10-21,BIO-HAITINK
Antonio Pappano,1959-12-30,,BIO-PAPPANO
Andrew Marr,1959-07-31,,NG-MARR-24
Molly Stevens,1974-05,,CH-MOLLY
Baroness Minouche Shafik,1962-08-13,,BIO-SHAFIK
Claudia Winkleman,1972-01-15,,BIO-WINKLEMAN
Martha Kearney,1957-10-08,,BIO-KEARNEY
Tom Holland,1968-01-05,,BIO-HOLLAND
June Sarpong,1977-05-31,,BIO-SARPONG
Mariella Frostrup,1962-11-12,,BIO-FROSTRUP
Akshata Murty,1980-04-25,,BIO-MURTY
