person,institution,role,start,end,place
Laurence Olivier,National Theatre,Director,1963,1973,London
Peter Hall,National Theatre,Director,1973,1988,London
Richard Eyre,National Theatre,Director,1988,1997,London
Trevor Nunn,National Theatre,Director,1997,2003,London
Nicholas Hytner,National Theatre,Director,2003,2015,London
Rufus Norris,National Theatre,Director / Chief Executive,2015,2025,London
Indhu Rubasingham,National Theatre,Director and Joint Chief Executive,2025,present,London
Adrian Noble,Royal Shakespeare Company,Artistic Director,1991,2003,Stratford-upon-Avon
Michael Boyd,Royal Shakespeare Company,Artistic Director,2003,2012,Stratford-upon-Avon
Gregory Doran,Royal Shakespeare Company,Artistic Director,2012,2022,Stratford-upon-Avon
Daniel Evans,Royal Shakespeare Company,Co-Artistic Director,2023-06,present,Stratford-upon-Avon
Tamara Harvey,Royal Shakespeare Company,Co-Artistic Director,2023-06,present,Stratford-upon-Avon
Andrew Leveson,Royal Shakespeare Company,Executive Director / Chief Executive,2024-04,present,Stratford-upon-Avon
Tony Hall,Royal Ballet and Opera,Chief Executive,2001,2013,London
Alex Beard,Royal Ballet and Opera,Chief Executive,2013,present,London
Antonio Pappano,Royal Ballet and Opera,"Music Director, Royal Opera",2002,2024,London
Oliver Mears,Royal Ballet and Opera,Director of Opera,2017,present,London
Jakub Hrůša,Royal Ballet and Opera,"Music Director, Royal Opera",2025-09,present,London
Jenny Mollica,English National Opera,Chief Executive,2023,2026,London
Paul Reeve,English National Opera,Interim Chief Executive,2026-04,2026-11,London
Helen Shute,English National Opera,Chief Executive,2026-11,present,London
Alex Reedijk OBE FRC,Scottish Opera,General Director,current,present,Glasgow
Peter Lawson CBE,Scottish Opera,Chair,current,present,Glasgow
Stuart Stratford,Scottish Opera,Music Director,current,present,Glasgow
Jeffrey Sharkey,Royal Conservatoire of Scotland,Principal,current,present,Glasgow
Departure announced for summer 2027,Royal Conservatoire of Scotland,Succession event,current,present,Glasgow
Helena Gaunt,Royal Welsh College of Music & Drama,Principal,current,present,Cardiff
Michael Plaut,Royal Welsh College of Music & Drama,Chair of Board,current,present,Cardiff
Tim Rhys-Evans,Royal Welsh College of Music & Drama,Director of Music,current,present,Cardiff
Sean Crowley,Royal Welsh College of Music & Drama,Director of Drama,current,present,Cardiff
Chris Breward,National Museums Scotland,Director,current,present,Edinburgh
Ian Russell CBE,National Museums Scotland,Chair,current,present,Edinburgh
Sam Alberti,National Museums Scotland,Executive team,current,present,Edinburgh
Ruth Gill,National Museums Scotland,Senior leadership,current,present,Edinburgh
Helen Ireland,National Museums Scotland,Senior leadership,current,present,Edinburgh
Keith Pentland,National Museums Scotland,Senior leadership,current,present,Edinburgh
Kathryn Thomson,National Museums Northern Ireland,Chief Executive,current,present,Belfast
Gordon Milligan OBE,National Museums Northern Ireland,Chair,current,present,Belfast
William Blair,National Museums Northern Ireland,Director of Collections,current,present,Belfast
Colin Catney,National Museums Northern Ireland,Chief Operating Officer,current,present,Belfast
Dominic Hill,Citizens Theatre,Artistic Director & Joint CEO,current,present,Glasgow
Alison Newton,Citizens Theatre,Chair,current,present,Glasgow
Kate Denby,Citizens Theatre,Executive Director & Joint CEO,current,present,Glasgow
James Brining,Royal Lyceum Theatre Edinburgh,Artistic Director,current,present,Edinburgh
Tari Lang,Royal Lyceum Theatre Edinburgh,Chair,current,present,Edinburgh
Lyndsey Jackson,Royal Lyceum Theatre Edinburgh,Executive Director,current,present,Edinburgh
