source_id,title,issuer,url
NG-DIR,National Gallery directors,National Gallery,https://www.nationalgallery.org.uk/about-us/history/directors
VA-DIR,V&A Directors,V&A,https://www.vam.ac.uk/info/va-directors
TATE-DIR,Tate Archive TG 2,Tate,https://archive.tate.org.uk/Record.aspx?id=TG+2&src=CalmView.Catalog
NHM-DIR,Natural History Museum Directors archive,Natural History Museum,https://www.nhm.ac.uk/CalmView/record/catalog/DF/DIR
NPG-DIR,Permanent Directors list,National Portrait Gallery,https://www.npg.org.uk/assets/uploads/files/press/2024/News-release_Victoria-Siddall-appointed-new-Director-of-the-National-Portrait-Gallery-final.pdf
NMS-HIST,History / directors,National Museums Scotland,https://www.nms.ac.uk/about-us/history
RSC-HIST,Key past people,RSC,https://www.rsc.org.uk/about-us/history/key-past-people
RBO-HIST,Royal Opera history,Royal Ballet and Opera,https://www.rbo.org.uk/about/the-royal-opera/history
SO-CUR,Board and leadership,Scottish Opera,https://www.scottishopera.org.uk/about-us/the-board-of-scottish-opera/
NGS-CUR,Who we are,National Galleries of Scotland,https://www.nationalgalleries.org/about-us/who-we-are
NMNI-CUR,Leadership,National Museums Northern Ireland,https://www.nationalmuseumsni.org/leadership
BM-CUR,Governance,British Museum,https://www.britishmuseum.org/about-us/governance
NT-HIST,National Theatre historical sequence,SIDONIE verified layer,
