source_id,title,issuer,url
P01,Greater Manchester — Mayor / Integrated Settlement,Greater Manchester Combined Authority,https://www.greatermanchester-ca.gov.uk/the-mayor
P02,Greater Manchester Culture Fund,Greater Manchester Combined Authority,https://www.greatermanchester-ca.gov.uk/what-we-do/culture/funding/greater-manchester-culture-fund/
P03,Greater Manchester Culture Investment Approach 2026–29,Greater Manchester Combined Authority,https://democracy.greatermanchester-ca.gov.uk/documents/g5866/Public%20reports%20pack%2026th-Sep-2025%2010.00%20Greater%20Manchester%20Combined%20Authority.pdf?T=10
P04,Liverpool City Region £1.5bn Integrated Settlement,Liverpool City Region Combined Authority,https://www.liverpoolcityregion-ca.gov.uk/news/1-5-billion-integrated-settlement-signals-new-chapter-in-liverpool-city-region-devolution
P05,Liverpool City Region 2026–27 budget,Liverpool City Region Combined Authority,https://www.liverpoolcityregion-ca.gov.uk/news/combined-authority-reveals-budget-priorities-as-new-era-of-devolution-begins-in-the-liverpool-city-region
P06,Liverpool City Region music-sector development,Liverpool City Region Combined Authority,https://www.liverpoolcityregion-ca.gov.uk/news/liverpool-city-regions-music-sector-worth-780-million-on-track-to-become-a-1-billion-powerhouse
P07,West Yorkshire Region of Learning and Creativity Strategy,West Yorkshire Combined Authority,https://www.westyorks-ca.gov.uk/resources/region-of-learning-and-creativity-strategy-foreword-and-executive-summary/
P08,West Yorkshire culture,West Yorkshire Combined Authority,https://www.westyorks-ca.gov.uk/place/culture/
P09,"West Yorkshire Culture, Heritage and Sport Framework engagement",West Yorkshire Combined Authority,https://www.yourvoice.westyorks-ca.gov.uk/csf
P10,West Midlands Combined Authority Areas of Research Interest 2026–27,West Midlands Combined Authority,https://www.wmca.org.uk/what-we-do/research-and-insights/wmca-areas-of-research-interest-aris-2026-27/
