internal_id,public_label
ram,Royal Academy of Music
rcm,Royal College of Music
rbo,Royal Ballet and Opera
eno,English National Opera
rsc,Royal Shakespeare Company
national-theatre,National Theatre
guildhall-trust,Guildhall School Trust
guildhall,Guildhall School of Music & Drama
nldf,National Lottery good-causes fund (National Lottery Distribution Fund)
npos,Arts Council England portfolio organisations
dcms,"Department for Culture, Media and Sport"
hmrc,HM Revenue & Customs
bfi,British Film Institute
ace,Arts Council England
nlhf,National Lottery Heritage Fund
