reference_id,source,issuer
R38,Arts Council England framework document 2025–2028,"Department for Culture, Media and Sport"
R39,Arts Council England National Lottery policy directions,"Department for Culture, Media and Sport"
R40,"Department for Culture, Media and Sport public appointments","Department for Culture, Media and Sport"
R41,"Department for Culture, Media and Sport framework documents","Department for Culture, Media and Sport"
R42,Strategic review of sponsored museums,"Department for Culture, Media and Sport"
R43,Department as Principal Regulator of exempt charities,"Department for Culture, Media and Sport"
R44,Cultural tax relief guidance/evaluation,HM Revenue & Customs
R48,Local authority revenue expenditure and financing,"Ministry of Housing, Communities and Local Government"
R49,Libraries as a statutory service / Public Libraries and Museums Act 1964,"Department for Culture, Media and Sport"
R52,Charity funding / independence evidence set,Charity Commission
R53,Institutional audited income classifications,Institution annual reports and accounts
