source_id,title,url
NH1,British Museum Act 1963,https://www.legislation.gov.uk/ukpga/1963/24
NH2,NHM framework 2025–28,https://www.gov.uk/government/publications/natural-history-museum-framework-document-2025-to-2028/natural-history-museum-framework-document-2025-to-2028
SM1,National Heritage Act 1983,https://www.legislation.gov.uk/ukpga/1983/47
SM2,Science Museum Group framework 2025–28,https://www.gov.uk/government/publications/science-museum-group-framework-document-2025-2028
IWM1,Imperial War Museum Act 1920,https://www.legislation.gov.uk/ukpga/Geo5/10-11/16
IWM2,Imperial War Museum Act 1955,https://www.legislation.gov.uk/ukpga/Eliz2/3-4/14
RMG1,National Maritime Museum Act 1934,https://www.legislation.gov.uk/ukpga/Geo5/24-25/43
WC1,Museums and Galleries Act 1992,https://www.legislation.gov.uk/ukpga/1992/44
SJ1,Sir John Soane’s Museum Act 1833,https://www.legislation.gov.uk/ukla/Will4/3-4/4
NML1,Merseyside Museums and Galleries Order 1986,https://www.legislation.gov.uk/uksi/1986/226
RA1,Royal Armouries framework 2025–28,https://www.gov.uk/government/publications/the-royal-armouries-framework-document-2025-2028
MH1,Museum of the Home framework 2025–28,https://www.gov.uk/government/publications/museum-of-the-home-framework-document-2025-to-2028/museum-of-the-home-framework-document-2025-to-2028
H1,Horniman framework 2025–28,https://www.gov.uk/government/publications/the-horniman-museum-and-gardens-framework-document-2025-to-2028/the-horniman-museum-and-gardens-framework-document-2025-to-2028
